,project_flux_id,datetime_start,datetime_end,chamber,total.CH4.flux.mg.C.m2.d,ebullitive_flux_mg_c_m2_d,diffusive_flux_combined,weighted_r2_combined,diffusive_flux_beforebubble,r2_beforebubble,n_diffusive_beforebubble,diffusive_flux_afterbubble,r2_afterbubble,n_diffusive_afterbubble,n_bubble_points,CO2.flux.mg.C.m2.d,R2.CO2,g_slope,S_intercept,b_coeff,c_coeff,K_coeff,site,reservoir,FB_TR,notes
as.numeric(datetime),394,8/7/2023 20:36,8/7/2023 21:30,9,19.08080626,0,19.08080626,0.903524985,19.08080626,0.903524985,26,NA,NA,0,0,112.6320587,0.693561937,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)1,395,8/7/2023 22:00,8/7/2023 22:55,9,23.99796502,0,23.99796502,0.932141246,23.99796502,0.932141246,27,NA,NA,0,0,129.0955725,0.783976974,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)2,396,8/7/2023 23:26,8/8/2023 0:15,9,39.46683424,0,39.46683424,0.971236817,39.46683424,0.971236817,24,NA,NA,0,0,258.7835495,0.929490511,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)3,397,8/8/2023 0:54,8/8/2023 1:23,9,45.12244613,0,45.12244613,0.983604549,45.12244613,0.983604549,14,NA,NA,0,0,394.4303653,0.973077823,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)4,398,8/8/2023 2:20,8/8/2023 3:15,9,7.449075362,0,7.449075362,0.619227264,7.449075362,0.619227264,26,NA,NA,0,0,224.3357527,0.072017225,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)5,399,8/8/2023 3:48,8/8/2023 4:41,9,9.360993268,0,9.360993268,0.821730847,9.360993268,0.821730847,26,NA,NA,0,0,52.07896305,0.843768057,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)6,400,8/8/2023 5:14,8/8/2023 6:09,9,21.55221669,0,21.55221669,0.855539916,21.55221669,0.855539916,27,NA,NA,0,0,179.6811906,0.694941887,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)7,401,8/8/2023 6:40,8/8/2023 7:35,9,28.98950819,0,28.98950819,0.842012361,28.98950819,0.842012361,27,NA,NA,0,0,-136.523666,0.023708792,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)8,402,8/8/2023 9:31,8/8/2023 10:23,9,52.04658644,0,52.04658644,0.709702036,NA,NA,0,52.04658644,0.709702036,24,4,456.3698955,0.251552828,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)9,403,8/8/2023 10:57,8/8/2023 11:53,9,0,0,NA,NA,NA,NA,0,-1.701471298,0.040420658,26,2,176.4018258,0.017385701,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)10,404,8/8/2023 12:23,8/8/2023 13:19,9,26.78011651,26.78011651,NA,NA,NA,NA,0,-10.2675489,0.750393737,25,1,-268.9490761,0.0537632,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)11,405,8/8/2023 13:52,8/8/2023 14:45,9,8.116475348,8.116475348,NA,NA,-9.105010215,0.248142306,17,NA,NA,0,1,-304.3162249,0.030473455,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
