,project_flux_id,datetime_start,datetime_end,chamber,total.CH4.flux.mg.C.m2.d,ebullitive_flux_mg_c_m2_d,diffusive_flux_combined,weighted_r2_combined,diffusive_flux_beforebubble,r2_beforebubble,n_diffusive_beforebubble,diffusive_flux_afterbubble,r2_afterbubble,n_diffusive_afterbubble,n_bubble_points,CO2.flux.mg.C.m2.d,R2.CO2,g_slope,S_intercept,b_coeff,c_coeff,K_coeff,site,reservoir,FB_TR,notes
as.numeric(datetime)12,406,8/8/2023 15:18,8/8/2023 16:10,9,8.239967379,8.239967379,NA,NA,-5.973307763,0.144927404,22,NA,NA,0,1,-23.70959212,0.000229377,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)13,407,8/8/2023 16:43,8/8/2023 17:36,9,0,0,NA,NA,-49.91371998,0.36752234,5,-1.778425661,0.012014966,20,3,-95.96202538,0.002766285,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime)14,408,8/8/2023 18:11,8/8/2023 18:58,9,0,0,NA,NA,-15.68997612,0.789542581,23,NA,NA,0,0,-267.1152199,0.014110597,-15.464127,235.3554,-1.26956,21.76195,0.5961397,BVFB,BV,FB,
as.numeric(datetime),226,1/22/2024 11:11,1/22/2024 12:17,9,0,0,NA,NA,-0.87559057,0.132878143,66,NA,NA,0,0,-147.5216028,0.903611233,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,DLFB,DL,FB,
as.numeric(datetime)1,229,1/22/2024 13:52,1/22/2024 15:11,9,1.15730627,0,1.15730627,0.765042276,1.15730627,0.765042276,79,NA,NA,0,0,-41.16701794,0.798145906,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,DLTR,DL,TR,
as.numeric(datetime)2,234,1/24/2024 10:16,1/24/2024 10:53,9,6.780259226,0,6.780259226,0.949504418,6.780259226,0.949504418,37,NA,NA,0,0,11.95551527,0.098374755,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,CGFB,CG,FB,
as.numeric(datetime)3,237,1/24/2024 11:17,1/24/2024 12:46,9,1.11038975,0,1.11038975,0.22072501,1.11038975,0.22072501,89,NA,NA,0,0,39.9788924,0.849460224,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,CGFB,CG,FB,
as.numeric(datetime)4,242,1/25/2024 10:35,1/25/2024 12:00,9,0,0,NA,NA,-0.436370517,0.326163892,85,NA,NA,0,0,12.47680752,0.11499683,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,DTFB,DT,FB,
as.numeric(datetime)5,246,1/29/2024 9:37,1/29/2024 10:23,9,7.03165823,0,7.03165823,0.924287367,7.03165823,0.924287367,47,NA,NA,0,0,202.7135952,0.913726337,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,BVFB,BV,FB,
as.numeric(datetime)6,250,1/29/2024 12:44,1/29/2024 13:30,9,35.9549462,9.578942722,26.37600348,0.970130426,26.37600348,0.970130426,11,-12.11182596,0.932284022,33,1,276.4485641,0.8287003,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,BVTR,BV,TR,
as.numeric(datetime)7,254,3/7/2024 10:13,3/7/2024 12:22,9,0,0,NA,NA,-0.228439895,0.007927051,129,NA,NA,0,0,84.86217349,0.905962626,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,DTFB,DT,FB,
as.numeric(datetime)8,262,3/19/2024 17:17,3/19/2024 18:13,9,3.973428869,0,3.973428869,0.444978082,3.973428869,0.444978082,57,NA,NA,0,0,-79.47442206,0.276300227,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,BVTR,BV,TR,
as.numeric(datetime)9,266,3/20/2024 12:33,3/20/2024 13:41,9,0,0,NA,NA,-2.864541399,0.876083847,68,NA,NA,0,0,-62.15160793,0.792025105,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,DTFB,DT,FB,
as.numeric(datetime)10,269,3/21/2024 11:01,3/21/2024 12:39,9,0.258250093,0,0.258250093,0.014565119,0.258250093,0.014565119,98,NA,NA,0,0,67.66984893,0.945545592,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,CGFB,CG,FB,
as.numeric(datetime)26,461,11/11/2024 8:57,11/11/2024 10:04,9,1.166150981,0,1.166150981,0.66038736,1.166150981,0.66038736,66,NA,NA,0,0,140.2461276,0.042386598,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,BVFB,BV,FB,
as.numeric(datetime)27,466,11/11/2024 12:16,11/11/2024 13:17,9,1.969057203,0,1.969057203,0.815624172,1.969057203,0.815624172,61,NA,NA,0,0,262.7668726,0.264056502,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,BVTR,BV,TR,
as.numeric(datetime)28,471,11/12/2024 9:39,11/12/2024 10:39,9,2.004987678,0,2.004987678,0.320362977,2.004987678,0.320362977,60,NA,NA,0,0,-13.55333469,0.007259277,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,DLFB,DL,FB,
as.numeric(datetime)29,476,11/12/2024 12:20,11/12/2024 13:25,9,0,0,NA,NA,-0.708444031,0.255408266,65,NA,NA,0,0,-385.9061554,0.804644914,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,DLTR,DL,TR,
as.numeric(datetime)30,481,11/13/2024 11:47,11/13/2024 13:20,9,1.023835016,0,1.023835016,0.338241307,1.023835016,0.338241307,93,NA,NA,0,0,53.57419053,0.389502976,-2.5538207,30.33671,-0.421285386,4.55166,-4.7927297,DTFB,DT,FB,
