,project_flux_id,datetime_start,datetime_end,chamber,total.CH4.flux.mg.C.m2.d,ebullitive_flux_mg_c_m2_d,diffusive_flux_combined,weighted_r2_combined,diffusive_flux_beforebubble,r2_beforebubble,n_diffusive_beforebubble,diffusive_flux_afterbubble,r2_afterbubble,n_diffusive_afterbubble,n_bubble_points,CO2.flux.mg.C.m2.d,R2.CO2,g_slope,S_intercept,b_coeff,c_coeff,K_coeff,site,reservoir,FB_TR,notes
as.numeric(datetime),3,11/7/2022 10:26,11/7/2022 11:20,3,54.32170864,8.701698755,45.62000988,0.9003082,45.62000988,0.9003082,35,NA,NA,0,1,450.5084544,0.876921156,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BNFB,BN,FB,
as.numeric(datetime)1,56,1/11/2023 11:19,1/11/2023 14:08,3,3.088188556,0,3.088188556,0.578061015,3.088188556,0.578061015,169,NA,NA,0,0,124.3431539,0.916353882,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DTFB,DT,FB,
as.numeric(datetime)2,57,1/12/2023 12:17,1/12/2023 14:23,3,8.477657842,4.38351255,4.094145292,0.071674604,4.094145292,0.071674604,26,NA,NA,0,1,144.2800614,0.964704518,-3.380033,280.7939,-2.018745,36.51898,-14.57457,CGFB,CG,FB,
as.numeric(datetime)3,58,1/13/2023 11:04,1/13/2023 11:58,3,10.22004647,7.599593455,2.620453019,0.124903448,NA,0,8,2.620453019,0.124903448,43,1,10.95670966,0.438944561,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BNFB,BN,FB,
as.numeric(datetime)4,85,3/6/2023 12:06,3/6/2023 12:48,3,6.646970552,0,6.646970552,0.513741994,6.646970552,0.513741994,42,NA,NA,0,0,-324.989157,0.962012065,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DLFB,DL,FB,
as.numeric(datetime)5,88,3/8/2023 10:28,3/8/2023 11:58,3,2.201065019,0,2.201065019,0.08750992,2.201065019,0.08750992,90,NA,NA,0,0,87.70820085,0.971064195,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DTFB,DT,FB,
as.numeric(datetime)6,89,3/9/2023 9:17,3/9/2023 11:23,3,1.847498855,0,1.847498855,0.251579177,1.847498855,0.251579177,126,NA,NA,0,0,114.642302,0.694625977,-3.380033,280.7939,-2.018745,36.51898,-14.57457,CGFB,CG,FB,
as.numeric(datetime)7,90,3/10/2023 9:36,3/10/2023 10:06,3,15.89186684,0,15.89186684,0.621253184,15.89186684,0.621253184,30,NA,NA,0,0,-515.4411169,0.958067531,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVFB,BV,FB,
as.numeric(datetime)8,92,3/10/2023 12:40,3/10/2023 13:06,3,0,0,NA,NA,-25.90340152,0.491804914,26,NA,NA,0,0,-1090.925799,0.959894558,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVTR,BV,TR,
as.numeric(datetime)9,94,5/1/2023 14:35,5/1/2023 15:01,3,32.2926809,0,32.2926809,0.847963517,32.2926809,0.847963517,26,NA,NA,0,0,-176.0574778,0.97073776,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVFB,BV,FB,
as.numeric(datetime)10,103,5/8/2023 14:45,5/8/2023 15:13,3,40.25987636,0,40.25987636,0.746339147,40.25987636,0.746339147,28,NA,NA,0,0,291.8028966,0.734183779,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVTR,BV,TR,
as.numeric(datetime)11,116,5/11/2023 12:04,5/11/2023 14:55,3,1.367584582,0,1.367584582,0.358301721,1.367584582,0.358301721,171,NA,NA,0,0,-42.21005374,0.850846108,-3.380033,280.7939,-2.018745,36.51898,-14.57457,CGFB,CG,FB,
as.numeric(datetime)12,120,5/12/2023 10:01,5/12/2023 13:02,3,3.789549504,0,3.789549504,0.55549021,3.789549504,0.55549021,181,NA,NA,0,0,-105.6475523,0.822729007,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DTFB,DT,FB,
as.numeric(datetime)13,127,6/15/2023 10:28,6/15/2023 13:04,3,6.470199704,0,6.470199704,0.616599831,6.470199704,0.616599831,156,NA,NA,0,0,-16.54957099,0.787888782,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DTFB,DT,FB,
as.numeric(datetime)14,130,7/13/2023 9:53,7/13/2023 13:00,3,2.630955057,0,2.630955057,0.547829247,2.630955057,0.547829247,186,NA,NA,0,0,-2.846364689,0.016158487,-3.380033,280.7939,-2.018745,36.51898,-14.57457,CGFB,CG,FB,
as.numeric(datetime)15,133,7/14/2023 10:22,7/14/2023 13:30,3,0,0,NA,NA,-0.278403425,0.003375789,188,NA,NA,0,0,-28.27773865,0.819392694,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DTFB,DT,FB,
as.numeric(datetime)16,136,7/17/2023 9:45,7/17/2023 10:18,3,21.14707422,0,21.14707422,0.377431562,21.14707422,0.377431562,33,NA,NA,0,0,-22273.09188,0.06866613,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVFB,BV,FB,
as.numeric(datetime)17,144,7/19/2023 9:39,7/19/2023 10:16,3,19.64529787,0,19.64529787,0.615346091,19.64529787,0.615346091,37,NA,NA,0,0,194332.9553,0.749934699,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DLFB,DL,FB,
as.numeric(datetime)18,149,7/19/2023 12:52,7/19/2023 13:34,3,10.17765981,0,10.17765981,0.421394077,10.17765981,0.421394077,42,NA,NA,0,0,-1.05E-10,0.494292195,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DLTR,DL,TR,
1,153,8/7/2023 10:59,8/7/2023 11:25,3,0,0,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVFB,BV,FB,
as.numeric(datetime)19,155,8/10/2023 10:10,8/10/2023 12:28,3,0,0,NA,NA,NA,NA,1,-2.832015151,0.450385703,31,2,17.08640265,0.623099073,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DTFB,DT,FB,
as.numeric(datetime)20,159,9/11/2023 10:07,9/11/2023 10:48,3,437.7176147,318.670409,119.0472057,0.216932285,NA,NA,0,119.0472057,0.216932285,77,34,367.8832766,0.140419231,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVFB,BV,FB,
as.numeric(datetime)21,165,9/11/2023 12:46,9/11/2023 13:34,3,95.2440635,95.2440635,NA,NA,NA,NA,0,-3.796256263,0.004473735,91,44,-64.61574201,0.037784654,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVTR,BV,TR,
as.numeric(datetime)22,182,9/15/2023 10:23,9/15/2023 16:17,3,15.71731719,15.71731719,NA,NA,NA,NA,0,-29.54603541,0.747488938,191,15,-272.3648536,0.775164714,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DTFB,DT,FB,
as.numeric(datetime)23,188,10/10/2023 9:47,10/10/2023 11:01,3,25.36861042,0,25.36861042,0.895022442,25.36861042,0.895022442,75,NA,NA,0,0,415.784317,0.90274703,-3.380033,280.7939,-2.018745,36.51898,-14.57457,BVFB,BV,FB,
as.numeric(datetime)24,211,11/15/2023 9:49,11/15/2023 10:44,3,0,0,NA,NA,-2.634477455,0.051613448,55,NA,NA,0,0,178.7894747,0.952626995,-3.380033,280.7939,-2.018745,36.51898,-14.57457,CGFB,CG,FB,
as.numeric(datetime)25,215,11/15/2023 10:48,11/15/2023 12:34,3,6.471941087,3.961922981,2.510018106,0.214299229,NA,NA,1,2.510018106,0.214299229,102,1,187.7176569,0.885220243,-3.380033,280.7939,-2.018745,36.51898,-14.57457,CGFB,CG,FB,
as.numeric(datetime)26,223,1/22/2024 11:11,1/22/2024 12:17,3,0.448816837,0,0.448816837,0.003476437,0.448816837,0.003476437,66,NA,NA,0,0,-116.4910041,0.939477786,-3.380033,280.7939,-2.018745,36.51898,-14.57457,DLFB,DL,FB,
