,project_flux_id,datetime_start,datetime_end,chamber,total.CH4.flux.mg.C.m2.d,ebullitive_flux_mg_c_m2_d,diffusive_flux_combined,weighted_r2_combined,diffusive_flux_beforebubble,r2_beforebubble,n_diffusive_beforebubble,diffusive_flux_afterbubble,r2_afterbubble,n_diffusive_afterbubble,n_bubble_points,CO2.flux.mg.C.m2.d,R2.CO2,g_slope,S_intercept,b_coeff,c_coeff,K_coeff,site,reservoir,FB_TR,notes
as.numeric(datetime),1,11/7/2022 10:26,11/7/2022 11:20,1,34.34043385,0,34.34043385,0.935466448,34.34043385,0.935466448,55,NA,NA,0,0,327.6446697,0.893015203,6.293174,0,-1.019805,77.27472,-32.92342,BNFB,BN,FB,
as.numeric(datetime)1,9,11/9/2022 13:38,11/9/2022 15:53,1,15.69938394,4.499641836,11.1997421,0.526298553,NA,NA,0,11.1997421,0.526298553,134,3,206.0253968,0.949339293,6.293174,0,-1.019805,77.27472,-32.92342,CGFB,CG,FB,
as.numeric(datetime)2,13,11/11/2022 10:42,11/11/2022 11:08,1,21.17206853,0,21.17206853,0.585831617,21.17206853,0.585831617,27,NA,NA,0,0,149.6930575,0.609042851,6.293174,0,-1.019805,77.27472,-32.92342,DLFB,DL,FB,
as.numeric(datetime)3,17,11/11/2022 14:46,11/11/2022 15:42,1,69.68405688,11.45586469,58.22819219,0.823641222,58.22819219,0.823641222,22,NA,NA,0,1,182.1356091,0.910275135,6.293174,0,-1.019805,77.27472,-32.92342,DLTR,DL,TR,
as.numeric(datetime)4,21,11/10/2022 10:35,11/10/2022 13:28,1,2.774673467,0,2.774673467,0.079425732,2.774673467,0.079425732,174,NA,NA,0,0,171.6770807,0.946113579,6.293174,0,-1.019805,77.27472,-32.92342,DTFB,DT,FB,
as.numeric(datetime)5,25,11/10/2022 15:35,11/10/2022 16:01,1,21.55312371,0,21.55312371,0.78559418,21.55312371,0.78559418,27,NA,NA,0,0,576.8797979,0.953992862,6.293174,0,-1.019805,77.27472,-32.92342,DTTR,DT,TR,
as.numeric(datetime)6,29,1/9/2023 12:55,1/9/2023 13:34,1,12.28622752,0,12.28622752,0.893536674,12.28622752,0.893536674,40,NA,NA,0,0,-5.919694185,0.087428929,6.293174,0,-1.019805,77.27472,-32.92342,DLFB,DL,FB,
as.numeric(datetime)7,32,1/11/2023 11:19,1/11/2023 14:08,1,1.654894177,0,1.654894177,0.360230616,1.654894177,0.360230616,162,NA,NA,0,0,-6.138257794,0.028223226,6.293174,0,-1.019805,77.27472,-32.92342,DTFB,DT,FB,
as.numeric(datetime)8,33,1/12/2023 12:17,1/12/2023 14:23,1,1.008378541,0,1.008378541,0.364277248,1.008378541,0.364277248,127,NA,NA,0,0,86.07064319,0.991030446,6.293174,0,-1.019805,77.27472,-32.92342,CGFB,CG,FB,
as.numeric(datetime)9,34,1/13/2023 11:04,1/13/2023 11:58,1,9.652497321,0,9.652497321,0.959645944,9.652497321,0.959645944,55,NA,NA,0,0,5.989402357,0.247951979,6.293174,0,-1.019805,77.27472,-32.92342,BNFB,BN,FB,
as.numeric(datetime)10,64,3/8/2023 10:28,3/8/2023 11:58,1,0,0,NA,NA,-0.920602444,0.019505928,91,NA,NA,0,0,29.59743074,0.203390071,6.293174,0,-1.019805,77.27472,-32.92342,CGFB,CG,FB,
as.numeric(datetime)11,66,3/10/2023 9:36,3/10/2023 10:06,1,16.93265764,16.93265764,NA,NA,NA,NA,0,-38.68763611,0.82629281,29,1,-439.7971298,0.948537237,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)12,102,5/8/2023 14:45,5/8/2023 15:12,1,16.36648158,16.36648158,NA,NA,NA,NA,0,-12.91118649,0.500951924,25,1,295.8174426,0.833022383,6.293174,0,-1.019805,77.27472,-32.92342,BVTR,BV,TR,
as.numeric(datetime)13,115,5/11/2023 12:04,5/11/2023 14:55,1,3.834274653,0,3.834274653,0.550885604,3.834274653,0.550885604,172,NA,NA,0,0,-41.9645018,0.798643094,6.293174,0,-1.019805,77.27472,-32.92342,CGFB,CG,FB,
as.numeric(datetime)14,119,5/12/2023 10:01,5/12/2023 13:02,1,2.270565807,0,2.270565807,0.062978823,2.270565807,0.062978823,182,NA,NA,0,0,-81.67282844,0.485484479,6.293174,0,-1.019805,77.27472,-32.92342,DTFB,DT,FB,
as.numeric(datetime)15,152,8/7/2023 10:59,8/7/2023 11:25,1,0,0,NA,NA,NA,NA,1,-16.30234227,0.338426399,12,2,424.3862151,0.858375439,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)16,187,10/10/2023 9:47,10/10/2023 10:57,1,0.887075022,0,0.887075022,0.933759375,0.887075022,0.933759375,71,NA,NA,0,0,394.9803982,0.913063374,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)17,251,3/7/2024 10:13,3/7/2024 12:26,1,3.854228066,3.854228066,NA,NA,NA,NA,0,-34.0263939,0.824745939,132,2,12.11794719,0.002831117,6.293174,0,-1.019805,77.27472,-32.92342,DTFB,DT,FB,
as.numeric(datetime)18,259,3/19/2024 17:17,3/19/2024 18:14,1,7.897467068,7.897467068,NA,NA,NA,NA,0,-7.438353428,0.527549045,55,2,-152.7648807,0.011944357,6.293174,0,-1.019805,77.27472,-32.92342,BVTR,BV,TR,
as.numeric(datetime)19,263,3/20/2024 12:33,3/20/2024 13:33,1,0,0,NA,NA,-3.980918394,0.295542869,61,NA,NA,0,0,-6.058439263,0.004097109,6.293174,0,-1.019805,77.27472,-32.92342,DTFB,DT,FB,
as.numeric(datetime)20,267,3/21/2024 11:45,3/21/2024 12:33,1,9.117834739,0,9.117834739,0.708466061,9.117834739,0.708466061,49,NA,NA,0,0,-35.30855292,0.097225532,6.293174,0,-1.019805,77.27472,-32.92342,CGFB,CG,FB,
as.numeric(datetime)21,271,3/22/2024 11:06,3/22/2024 12:25,1,0,0,NA,NA,-50.18794469,0.94008375,80,NA,NA,0,0,-554.681125,0.956733446,6.293174,0,-1.019805,77.27472,-32.92342,DLFB,DL,FB,
as.numeric(datetime)22,275,3/22/2024 14:57,3/22/2024 15:57,1,0,0,NA,NA,-22.30469126,0.606775468,61,NA,NA,0,0,-123.9024715,0.702231331,6.293174,0,-1.019805,77.27472,-32.92342,DLTR,DL,TR,
as.numeric(datetime)23,279,8/7/2023 19:00,8/7/2023 19:48,1,13.72663321,0,13.72663321,0.805601236,13.72663321,0.805601236,25,NA,NA,0,0,187.538533,0.917595003,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)24,280,8/7/2023 20:22,8/7/2023 21:14,1,28.56500841,0,28.56500841,0.996130297,28.56500841,0.996130297,27,NA,NA,0,0,210.0749437,0.941565083,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)25,281,8/7/2023 23:14,8/8/2023 0:06,1,23.47886652,0,23.47886652,0.974112301,23.47886652,0.974112301,26,NA,NA,0,0,146.9362048,0.953808365,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)26,282,8/8/2023 0:38,8/8/2023 1:32,1,32.99468649,0,32.99468649,0.992623978,32.99468649,0.992623978,28,NA,NA,0,0,231.5813414,0.950152719,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)27,283,8/8/2023 2:06,8/8/2023 2:58,1,34.6838306,0,34.6838306,0.983814921,34.6838306,0.983814921,27,NA,NA,0,0,220.98562,0.917566992,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)28,284,8/8/2023 3:30,8/8/2023 4:24,1,34.40095353,0,34.40095353,0.988885706,34.40095353,0.988885706,27,NA,NA,0,0,236.4777171,0.887027285,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)29,285,8/8/2023 4:56,8/8/2023 5:40,1,38.36966468,0,38.36966468,0.996350847,38.36966468,0.996350847,21,NA,NA,0,0,291.4089832,0.94683266,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)30,286,8/8/2023 6:22,8/8/2023 7:16,1,31.94027629,0,31.94027629,0.986076485,31.94027629,0.986076485,28,NA,NA,0,0,213.992885,0.937402153,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)31,287,8/8/2023 7:48,8/8/2023 8:42,1,31.11629919,7.588202839,23.52809635,0.884198474,NA,NA,0,23.52809635,0.884198474,27,1,213.1325801,0.850282719,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)32,289,8/8/2023 11:08,8/8/2023 11:34,1,14.95299833,0,14.95299833,0.955954771,14.95299833,0.955954771,14,NA,NA,0,0,81.75543911,0.932441968,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)33,290,8/8/2023 12:30,8/8/2023 13:00,1,7.378943479,0,7.378943479,0.820585995,7.378943479,0.820585995,16,NA,NA,0,0,100.5903103,0.948364983,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)34,292,8/8/2023 16:59,8/8/2023 17:39,1,16.47701546,0,16.47701546,0.910012219,16.47701546,0.910012219,21,NA,NA,0,0,8.694293739,0.041061227,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)35,293,8/8/2023 18:13,8/8/2023 19:05,1,15.85093459,0,15.85093459,0.782122079,15.85093459,0.782122079,27,NA,NA,0,0,144.6464254,0.840033356,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)36,295,8/8/2023 21:02,8/8/2023 21:57,1,56.34851415,9.953600531,46.39491362,0.996382924,NA,NA,0,46.39491362,0.996382924,27,1,113.4168664,0.980201122,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)37,296,8/8/2023 22:28,8/8/2023 23:23,1,43.72203753,0,43.72203753,0.991095934,43.72203753,0.991095934,28,NA,NA,0,0,145.0251067,0.972403969,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)38,297,8/8/2023 23:54,8/9/2023 0:49,1,57.10714434,0,57.10714434,0.985454624,57.10714434,0.985454624,28,NA,NA,0,0,176.5058944,0.905098102,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)39,298,8/9/2023 1:20,8/9/2023 2:09,1,66.88831818,0,66.88831818,0.986872416,66.88831818,0.986872416,24,NA,NA,0,0,219.2024786,0.9171888,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)40,299,8/9/2023 2:48,8/9/2023 3:43,1,63.22449941,0,63.22449941,0.990062165,63.22449941,0.990062165,28,NA,NA,0,0,191.322257,0.886575597,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)41,300,8/9/2023 4:14,8/9/2023 5:09,1,61.87125558,0,61.87125558,0.978214343,61.87125558,0.978214343,28,NA,NA,0,0,215.2355477,0.8878648,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)42,301,8/9/2023 5:40,8/9/2023 6:35,1,64.46795624,8.336564281,56.13139196,0.987122905,NA,NA,0,56.13139196,0.987122905,27,1,161.9285053,0.855299026,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)43,302,8/9/2023 7:06,8/9/2023 8:01,1,66.11911508,8.002210979,58.1169041,0.987041454,NA,NA,0,58.1169041,0.987041454,27,1,185.7462066,0.89733054,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)44,303,8/9/2023 8:32,8/9/2023 9:27,1,30.2535214,0,30.2535214,0.959352732,30.2535214,0.959352732,27,NA,NA,0,0,174.3933226,0.87163671,6.293174,0,-1.019805,77.27472,-32.92342,BVFB,BV,FB,
as.numeric(datetime)45,358,5/14/2024 13:34,5/14/2024 15:33,1,0.990865816,0,0.990865816,0.070236854,0.990865816,0.070236854,120,NA,NA,0,0,13.56196621,0.001046649,6.293174,0,-1.019805,77.27472,-32.92342,DTFB,DT,FB,
as.numeric(datetime)46,362,5/15/2024 11:42,5/15/2024 13:43,1,9.425479718,9.425479718,NA,NA,NA,NA,0,-14.36174133,0.648399874,120,3,199.7573872,0.838720432,6.293174,0,-1.019805,77.27472,-32.92342,CGFB,CG,FB,
as.numeric(datetime)47,370,5/16/2024 12:43,5/16/2024 13:23,1,29.1792545,29.1792545,NA,NA,NA,NA,0,-26.42259783,0.442457818,38,3,-228.0892183,0.006622395,6.293174,0,-1.019805,77.27472,-32.92342,DLFB,DL,FB,
as.numeric(datetime)48,386,5/21/2024 12:03,5/21/2024 12:47,1,15.87702668,10.79594183,5.081084857,0.116159206,NA,NA,0,5.081084857,0.116159206,43,2,-103.2818546,0.017976872,6.293174,0,-1.019805,77.27472,-32.92342,DLFB,DL,FB,
as.numeric(datetime)49,390,5/21/2024 10:31,5/21/2024 11:12,1,34.25978497,13.56581169,20.69397328,0.826771143,NA,NA,0,20.69397328,0.826771143,40,1,-140.2022139,0.031291984,6.293174,0,-1.019805,77.27472,-32.92342,DLTR,DL,TR,
as.numeric(datetime)50,468,11/12/2024 9:40,11/12/2024 10:40,1,4.85967542,0,4.85967542,0.502631187,4.85967542,0.502631187,61,NA,NA,0,0,91.6494105,0.665457115,-40.4153,640.6341,-3.11208,0.115229,-1.785586,DLFB,DL,FB,
as.numeric(datetime)51,473,11/12/2024 12:20,11/12/2024 13:24,1,6.177115716,0,6.177115716,0.654340238,6.177115716,0.654340238,65,NA,NA,0,0,33.84956358,0.094454786,-40.4153,640.6341,-3.11208,0.115229,-1.785586,DLTR,DL,TR,
as.numeric(datetime)52,478,11/13/2024 11:48,11/13/2024 13:18,1,1.176669165,0,1.176669165,0.301817426,1.176669165,0.301817426,91,NA,NA,0,0,370.723593,0.864056647,-40.4153,640.6341,-3.11208,0.115229,-1.785586,DTFB,DT,FB,
as.numeric(datetime)53,483,11/14/2024 11:26,11/14/2024 12:45,1,0.769803791,0,0.769803791,0.657942341,0.769803791,0.657942341,80,NA,NA,0,0,102.5378206,0.757613828,-40.4153,640.6341,-3.11208,0.115229,-1.785586,CGFB,CG,FB,
