,project_flux_id,datetime_start,datetime_end,chamber,total.CH4.flux.mg.C.m2.d,ebullitive_flux_mg_c_m2_d,diffusive_flux_combined,weighted_r2_combined,diffusive_flux_beforebubble,r2_beforebubble,n_diffusive_beforebubble,diffusive_flux_afterbubble,r2_afterbubble,n_diffusive_afterbubble,n_bubble_points,CO2.flux.mg.C.m2.d,R2.CO2,g_slope,S_intercept,b_coeff,c_coeff,K_coeff,site,reservoir,FB_TR,notes
as.numeric(datetime),4,11/7/2022 10:26,11/7/2022 11:20,4,12.44448929,0,12.44448929,0.805228137,12.44448929,0.805228137,54,NA,NA,0,0,387.1745422,0.933082676,6.60906,407.3016,-0.2000875,40.27989,-12.58114,BNFB,BN,FB,
as.numeric(datetime)1,11,11/9/2022 13:38,11/9/2022 15:53,4,3.10195433,3.10195433,NA,NA,NA,NA,0,-8.266710221,0.740516542,133,2,99.3557949,0.947352401,6.60906,407.3016,-0.2000875,40.27989,-12.58114,CGFB,CG,FB,
as.numeric(datetime)2,15,11/11/2022 10:42,11/11/2022 11:08,4,21.71254311,0,21.71254311,0.778043066,21.71254311,0.778043066,26,NA,NA,0,0,210.6925081,0.813146011,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DLFB,DL,FB,
as.numeric(datetime)3,19,11/11/2022 14:46,11/11/2022 15:42,4,10.20297563,0,10.20297563,0.593972464,10.20297563,0.593972464,56,NA,NA,0,0,40.89833351,0.354431692,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DLTR,DL,TR,
as.numeric(datetime)4,23,11/10/2022 10:35,11/10/2022 13:28,4,4.700317488,0,4.700317488,0.802352794,4.700317488,0.802352794,173,NA,NA,0,0,45.42756423,0.946748967,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DTFB,DT,FB,
as.numeric(datetime)5,27,11/10/2022 15:35,11/10/2022 16:01,4,16.15174926,0,16.15174926,0.807783625,16.15174926,0.807783625,26,NA,NA,0,0,214.142387,0.966193655,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DTTR,DT,TR,
as.numeric(datetime)6,45,1/9/2023 12:52,1/9/2023 13:51,4,4.229023691,0,4.229023691,0.582353942,4.229023691,0.582353942,59,NA,NA,0,0,-5.998841036,0.092552223,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DLFB,DL,FB,
as.numeric(datetime)7,46,1/9/2023 14:32,1/9/2023 14:59,4,22.79037627,0,22.79037627,0.931534018,22.79037627,0.931534018,28,NA,NA,0,0,36.10633805,0.585029137,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DLFB,DL,FB,
as.numeric(datetime)8,48,1/11/2023 11:19,1/11/2023 14:08,4,0.615356228,0,0.615356228,0.484098099,0.615356228,0.484098099,169,NA,NA,0,0,50.12798385,0.452449711,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DTFB,DT,FB,
as.numeric(datetime)9,49,1/12/2023 12:17,1/12/2023 14:23,4,0.176827102,0,0.176827102,0.07340019,0.176827102,0.07340019,126,NA,NA,0,0,90.51605628,0.96662601,6.60906,407.3016,-0.2000875,40.27989,-12.58114,CGFB,CG,FB,
as.numeric(datetime)10,50,1/13/2023 11:04,1/13/2023 11:58,4,0,0,NA,NA,-0.456509725,0.06367436,55,NA,NA,0,0,-14.66974519,0.550525626,6.60906,407.3016,-0.2000875,40.27989,-12.58114,BNFB,BN,FB,
as.numeric(datetime)11,77,3/6/2023 12:06,3/6/2023 12:48,4,6.043001527,0,6.043001527,0.850046511,6.043001527,0.850046511,42,NA,NA,0,0,-230.4822782,0.958382306,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DLFB,DL,FB,
as.numeric(datetime)12,80,3/8/2023 10:28,3/8/2023 11:58,4,4.279479094,0,4.279479094,0.323245758,4.279479094,0.323245758,90,NA,NA,0,0,69.15172727,0.978565232,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DTFB,DT,FB,
as.numeric(datetime)13,81,3/9/2023 9:17,3/9/2023 11:23,4,2.086871417,0,2.086871417,0.918749958,2.086871417,0.918749958,126,NA,NA,0,0,92.21926797,0.919181228,6.60906,407.3016,-0.2000875,40.27989,-12.58114,CGFB,CG,FB,
as.numeric(datetime)14,82,3/10/2023 9:36,3/10/2023 10:06,4,5.074215669,0,5.074215669,0.473108706,5.074215669,0.473108706,30,NA,NA,0,0,-369.9905949,0.944143443,6.60906,407.3016,-0.2000875,40.27989,-12.58114,BVFB,BV,FB,
as.numeric(datetime)15,84,3/10/2023 12:40,3/10/2023 13:06,4,0,0,NA,NA,-7.34973104,0.131044025,26,NA,NA,0,0,-956.2173349,0.961610962,6.60906,407.3016,-0.2000875,40.27989,-12.58114,BVTR,BV,TR,
as.numeric(datetime)16,95,5/1/2023 14:35,5/1/2023 15:01,4,0,0,NA,NA,NA,NA,0,-1.917635177,0.00020273,24,5,-2.37E-13,0.491569616,6.60906,407.3016,-0.2000875,40.27989,-12.58114,BVFB,BV,FB,
as.numeric(datetime)17,183,9/15/2023 10:23,9/15/2023 16:17,4,316.8427545,316.8427545,NA,NA,NA,NA,0,-29.01628598,0.079015463,345,105,-75.26642912,0.436812477,6.60906,407.3016,-0.2000875,40.27989,-12.58114,DTFB,DT,FB,
as.numeric(datetime)18,186,10/10/2023 9:46,10/10/2023 11:03,4,23.45116912,23.45116912,NA,NA,NA,0,8,-1.524822143,0.007538174,216,9,245.5031122,0.702683831,6.60906,407.3016,-0.2000875,40.27989,-12.58114,BVFB,BV,FB,
