,project_flux_id,datetime_start,datetime_end,chamber,total.CH4.flux.mg.C.m2.d,ebullitive_flux_mg_c_m2_d,diffusive_flux_combined,weighted_r2_combined,diffusive_flux_beforebubble,r2_beforebubble,n_diffusive_beforebubble,diffusive_flux_afterbubble,r2_afterbubble,n_diffusive_afterbubble,n_bubble_points,CO2.flux.mg.C.m2.d,R2.CO2,g_slope,S_intercept,b_coeff,c_coeff,K_coeff,site,reservoir,FB_TR,notes
as.numeric(datetime),2,11/7/2022 10:26,11/7/2022 11:20,2,5.189788489,0,5.189788489,0.876617134,5.189788489,0.876617134,55,NA,NA,0,0,501.0941148,0.886384124,7.465812,0,-0.6763012,7,0,BNFB,BN,FB,
as.numeric(datetime)1,10,11/9/2022 13:38,11/9/2022 15:53,2,0,0,NA,NA,-1.850925401,0.245778971,136,NA,NA,0,0,98.24453262,0.445938783,7.465812,0,-0.6763012,7,0,CGFB,CG,FB,
as.numeric(datetime)2,14,11/11/2022 10:42,11/11/2022 11:08,2,4.987201498,0,4.987201498,0.689087436,4.987201498,0.689087436,27,NA,NA,0,0,164.6557415,0.662309805,7.465812,0,-0.6763012,7,0,DLFB,DL,FB,
as.numeric(datetime)3,18,11/11/2022 14:46,11/11/2022 15:42,2,1.676999543,0,1.676999543,0.533752247,1.676999543,0.533752247,57,NA,NA,0,0,202.7243255,0.957084861,7.465812,0,-0.6763012,7,0,DLTR,DL,TR,
as.numeric(datetime)4,22,11/10/2022 10:35,11/10/2022 13:28,2,0.559630573,0,0.559630573,0.372873838,0.559630573,0.372873838,174,NA,NA,0,0,272.4349473,0.945596973,7.465812,0,-0.6763012,7,0,DTFB,DT,FB,
as.numeric(datetime)5,26,11/10/2022 15:35,11/10/2022 16:01,2,5.231489629,0,5.231489629,0.77752929,5.231489629,0.77752929,27,NA,NA,0,0,743.5974272,0.958699407,7.465812,0,-0.6763012,7,0,DTTR,DT,TR,
as.numeric(datetime)6,409,7/8/2024 9:40,7/8/2024 10:25,2,3.000172803,0,3.000172803,0.403976303,3.000172803,0.403976303,46,NA,NA,0,0,-55.09364241,0.134694728,7.465812,0,-0.6763012,7,0,BVFB,BV,FB,
as.numeric(datetime)7,412,7/8/2024 12:33,7/8/2024 13:34,2,1.603403839,0,1.603403839,0.088379241,1.603403839,0.088379241,62,NA,NA,0,0,-98.73340326,0.056739257,7.465812,0,-0.6763012,7,0,BVTR,BV,TR,
as.numeric(datetime)8,427,7/15/2024 11:58,7/15/2024 12:56,2,3.478353035,0,3.478353035,0.386095353,3.478353035,0.386095353,59,NA,NA,0,0,-294.449055,0.784540533,7.465812,0,-0.6763012,7,0,DTFB,DT,FB,
