,project_flux_id,datetime_start,datetime_end,chamber,total.CH4.flux.mg.C.m2.d,ebullitive_flux_mg_c_m2_d,diffusive_flux_combined,weighted_r2_combined,diffusive_flux_beforebubble,r2_beforebubble,n_diffusive_beforebubble,diffusive_flux_afterbubble,r2_afterbubble,n_diffusive_afterbubble,n_bubble_points,CO2.flux.mg.C.m2.d,R2.CO2,g_slope,S_intercept,b_coeff,c_coeff,K_coeff,site,reservoir,FB_TR,notes
as.numeric(datetime),12,11/9/2022 13:37,11/9/2022 15:53,6,11.70263605,0,11.70263605,0.771053357,11.70263605,0.771053357,137,NA,NA,0,0,186.8244573,0.975446683,12.578317,275.5481,-3.6188951,23.70869,0.8676484,CGFB,CG,FB,
as.numeric(datetime)1,24,11/10/2022 10:34,11/10/2022 13:28,6,15.24480865,3.004196712,12.24061193,0.955116423,NA,0,7,12.24061193,0.955116423,165,1,213.7585515,0.721192611,12.578317,275.5481,-3.6188951,23.70869,0.8676484,DTFB,DT,FB,
as.numeric(datetime)2,28,11/10/2022 15:34,11/10/2022 16:01,6,43.1077621,22.9362517,20.17151041,0.829009847,NA,NA,1,20.17151041,0.829009847,24,1,1249.17682,0.281919711,12.578317,275.5481,-3.6188951,23.70869,0.8676484,DTTR,DT,TR,
as.numeric(datetime)3,16,11/11/2022 10:41,11/11/2022 11:08,6,21.29691752,0,21.29691752,0.811976471,21.29691752,0.811976471,28,NA,NA,0,0,360.5809778,0.839358127,12.578317,275.5481,-3.6188951,23.70869,0.8676484,DLFB,DL,FB,
as.numeric(datetime)4,20,11/11/2022 14:45,11/11/2022 15:42,6,41.7061419,17.42584171,24.28030019,0.845420427,24.28030019,0.845420427,23,NA,NA,0,2,125.7195031,0.762487086,12.578317,275.5481,-3.6188951,23.70869,0.8676484,DLTR,DL,TR,
as.numeric(datetime)5,37,1/9/2023 12:51,1/9/2023 13:40,6,4.25518222,0,4.25518222,0.698854816,4.25518222,0.698854816,50,NA,NA,0,0,-24.043777,0.49459917,12.578317,275.5481,-3.6188951,23.70869,0.8676484,DLFB,DL,FB,
as.numeric(datetime)6,40,1/11/2023 11:18,1/11/2023 14:08,6,1774413762420867,1774413762420867,NA,NA,-9.105820507,0.358318716,22,NA,NA,0,1,129.6600468,0.940327058,12.578317,275.5481,-3.6188951,23.70869,0.8676484,DTFB,DT,FB,
as.numeric(datetime)7,41,1/12/2023 12:16,1/12/2023 14:23,6,0.626609603,0,0.626609603,0.082340907,0.626609603,0.082340907,128,NA,NA,0,0,79.96039408,0.993087693,12.578317,275.5481,-3.6188951,23.70869,0.8676484,CGFB,CG,FB,
as.numeric(datetime)8,42,1/13/2023 11:03,1/13/2023 11:58,6,8.81993075,0,8.81993075,0.977528576,8.81993075,0.977528576,56,NA,NA,0,0,0.79408338,0.004587567,12.578317,275.5481,-3.6188951,23.70869,0.8676484,BNFB,BN,FB,
as.numeric(datetime)9,69,3/6/2023 12:05,3/6/2023 12:48,6,6.29796494,0,6.29796494,0.936189123,6.29796494,0.936189123,44,NA,NA,0,0,-341.9837794,0.975917305,12.578317,275.5481,-3.6188951,23.70869,0.8676484,DLFB,DL,FB,
as.numeric(datetime)10,72,3/8/2023 10:27,3/8/2023 11:58,6,0,0,NA,NA,-0.479291738,0.071532373,92,NA,NA,0,0,78.21780705,0.938563822,12.578317,275.5481,-3.6188951,23.70869,0.8676484,DTFB,DT,FB,
