ID,Date,station,depth_m,temp_c,do_mg_l,chl_a_ug_l,pH,turb_ntu,cond_uS,,Filename,Time_approx,,
73,3/9/2023,DTFB,10,3.75,12.16,3.51,8.71,0,38.3,y,DTFB03092023,10:40,,
74,3/9/2023,DTFB,20,3.75,11.92,3.56,8.71,0,38.5,y,DTFB03092023,10:40,,
75,3/9/2023,DTFB,30,3.76,11.58,3.63,8.71,0,38.5,y,DTFB03092023,10:40,,
76,3/9/2023,DTFB,40,3.75,11.28,3.37,8.66,0,39.3,y,DTFB03092023,10:40,,
77,3/9/2023,DTFB,47,3.75,10.86,3,8.69,0,37.5,y,DTFB03092023,10:40,,
79,3/9/2023,DTTR,0.1,4.61,13.17,2.04,8.65,0,35.1,y,DTTR20230309,12:45,,
80,3/9/2023,BCTR,0.1,4.08,14.4,2.21,8.41,0,37.1,y,DTTR20230309,12:45,,
82,3/10/2023,BVFB,0.1,3.57,11.01,5.76,9.3,0,169.8,y,BVFB031020203,9:50,"Is filename correct?Ê Check b/c has extra zero.Ê Also, all of the filenames that Jess and McKenzie created are MMDDYYYY; need to talk to them about doing YYYYMMDD instead",
83,3/10/2023,BVTR,0.1,3.62,12.25,3.32,9.11,0,172.4,y,BVTR03102023,12:35,,
85,5/1/2023,BVFB,0.1,11.38,11.32,12.73,7.8,0,195.1,Y,BVFB20230501,13:30,No time recorded so time is very approximate.Ê,
86,5/8/2023,BVFB,0.11,12.21,11.21,3.95,7.37,32.9,162.4,Y,BVFB08052023,12:00,No time recorded so time is very approximate.Ê,
87,5/8/2023,BVTR,0.1,12.36,14.42,4.32,7.13,0,162.2,Y,BVTR08052023,14:45,No time recorded so time is very approximate.Ê,
88,5/9/2023,DLFB,0.1,11.98,8.55,3.2,7.6,0,160.9,Y,DLFB220230509,11:45,No time recorded so time is very approximate.Ê,
89,5/9/2023,DLTR,0.1,12.26,10.39,2.55,7.38,0,157.7,?,?,14:15,"Should have been logged, but need to check to make sure, it is not on the data sheet. No time recorded so time is very approximate.Ê",
90,5/11/2023,CGFB,0.1,10.83,10,0.48,7.39,0,28.7,Y,CGFB20230511,12:35,No time recorded so time is very approximate.Ê,
91,5/11/2023,CGFB,48.33,4.1,13.33,0.44,7.39,0,42.5,Y,CGFB20230511,14:30,No time recorded so time is very approximate.Ê,
92,5/11/2023,CGFB,40.2,4.24,9.6,0.5,7.43,0,41.4,Y,CGFB20230511,14:30,No time recorded so time is very approximate.Ê,
93,5/11/2023,CGFB,30.34,4.55,9.62,0.5,7.44,0,40.4,Y,CGFB20230511,14:30,No time recorded so time is very approximate.Ê,
94,5/11/2023,CGFB,20.01,5.75,13.17,0.89,7.47,0,30.4,Y,CGFB20230511,14:30,No time recorded so time is very approximate.Ê,
95,5/11/2023,CGFB,15.09,6.16,10.95,1.57,7.47,0,29,Y,CGFB20230511,14:30,No time recorded so time is very approximate.Ê,
96,5/11/2023,CGFB,10.02,6.37,10.63,3.13,7.47,575,26.6,Y,CGFB20230511,14:30,No time recorded so time is very approximate.Ê,
97,5/11/2023,CGFB,5.08,6.99,10.55,3.26,7.6,1521,27.6,Y,CGFB20230511,14:30,No time recorded so time is very approximate.Ê,
98,5/12/2023,CGFB,75,3.99,10.01,0.3,7.46,0,44,,CGFB20230511TT,14:30,No time recorded so time is very approximate.Ê,
99,5/12/2023,CGTR,0.1,7.66,13.1,0.86,7.98,0,29.6,Y,CGTR20230511,15:50,No time recorded so time is very approximate.Ê,
100,5/12/2023,DTFB,0.1,10.92,10.46,0.96,8.26,0,33.8,Y,DTFB20230512,,,
101,5/12/2023,DTFB,47.33,5.31,14.37,2.43,7.88,0,36.8,Y,DTFB20230512,,,
102,5/12/2023,DTFB,40.75,5.58,11.01,2.7,7.91,0,36.6,Y,DTFB20230512,,,
103,5/12/2023,DTFB,30.47,6.29,10.57,3.5,7.93,0,34,Y,DTFB20230512,,,
104,5/12/2023,DTFB,20.51,6.81,10.42,5.09,7.93,0,32.9,Y,DTFB20230512,,,
105,5/12/2023,DTFB,15.24,7.21,10.96,7.38,8.03,0,33.1,Y,DTFB20230512,,,
106,5/12/2023,DTFB,9.95,9.94,10.66,7.87,8.67,0,35.8,Y,DTFB20230512,,,
107,5/12/2023,DTFB,5.15,10.29,9.33,4.2,8.69,0,33.7,Y,DTFB20230512,,,
108,5/12/2023,DTFB,90,,,,,,,,DTFB20230512TT,Something was done incorrectly on the sonde and it did not record these data points.,,
109,5/12/2023,DTFB,80,,,,,,,,DTFB20230512TT,Something was done incorrectly on the sonde and it did not record these data points.,,
110,5/12/2023,DTFB,70,,,,,,,,DTFB20230512TT,Something was done incorrectly on the sonde and it did not record these data points.,,
111,5/12/2023,DTFB,60,,,,,,,,DTFB20230512TT,Something was done incorrectly on the sonde and it did not record these data points.,,
112,5/12/2023,DTTR,0.1,5.69,12.62,0.88,7.86,0,37.3,Y,DTTR20230512,,,
113,5/12/2023,BCTR,0.1,7.94,17.89,1.7,7.99,0,39.4,Y,BCTR20230512,,,
115,6/12/2023,BVFB,0,17.57,9.36,4,7.08,21.5*,105.5,Y,BVFB20230612,10:30,No time recorded so time is very approximate.Ê,
116,6/15/2023,DTFB,0,15.52,8.28,1.28,6.6,18.6*,32.3,Y,DTFB20230615,10:45,No time recorded so time is very approximate.Ê,
117,6/15/2023,DTFB,45.77,5.62,10.46,1.12,6.54,18.8*,36.6,Y,DTFB20230615,12:00,No time recorded so time is very approximate.Ê,
118,6/15/2023,DTFB,39.9,5.89,9.42,1.05,6.62,17.8*,35.8,Y,DTFB20230615,12:05,No time recorded so time is very approximate.Ê,
119,6/15/2023,DTFB,30.34,6.95,8.85,1.9,6.58,18.5*,32.7,Y,DTFB20230615,12:10,No time recorded so time is very approximate.Ê,
120,6/15/2023,DTFB,20.25,10.11,8.51,5.11,6.48,24.4*,30.8,Y,DTFB20230615,12:15,No time recorded so time is very approximate.Ê,
121,6/15/2023,DTFB,25.19,8.05,8.38,2.36,6.54,19.7*,30.9,Y,DTFB20230615,12:20,No time recorded so time is very approximate.Ê,
122,6/15/2023,DTFB,15.05,13.38,9.24,8.68,6.57,24.5*,32.3,Y,DTFB20230615,12:25,No time recorded so time is very approximate.Ê,
123,6/15/2023,DTFB,10.16,14.8,9.65,6.22,6.79,229.2*,31.3,Y,DTFB20230615,12:30,No time recorded so time is very approximate.Ê,
124,6/15/2023,DTFB,4.99,15.05,9.85,4.53,6.86,416.0*,32.5,Y,DTFB20230615,12:35,No time recorded so time is very approximate.Ê,
125,6/15/2023,DTFB,91.2,5.19,8.91,1.23,6.8,18.7*,,Y,DTFB20230615TT,12:30,No time recorded so time is very approximate.Ê,
126,6/15/2023,DTFB,80.91,5.28,9.11,1.15,6.81,18.7*,,Y,DTFB20230615TT,12:35,No time recorded so time is very approximate.Ê,
127,6/15/2023,DTFB,70.65,5.33,9.13,1.11,6.84,18.6*,,Y,DTFB20230615TT,12:40,No time recorded so time is very approximate.Ê,
128,6/15/2023,DTFB,60.58,5.38,9.23,1.11,6.85,18.7*,,Y,DTFB20230615TT,12:45,No time recorded so time is very approximate.Ê,
