project_flux_id,datetime_start,datetime_end,total_CH4_flux_first_last_mgC_m2_d,total_CH4_flux_robust_5pt_mgC_m2_d,total_CH4_flux_lm_raw_mgC_m2_d,total_CH4_flux_huber_mgC_m2_d,total_CH4_flux_used_for_partition_mgC_m2_d,total_CH4_flux_method_used_for_partition,diffusive_flux_mgC_m2_d,diffusive_flux_median_raw,diffusive_flux_was_capped_to_total,r2_best_window,n_top_windows_used,top_k_requested,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,n_candidate_diffusive_windows,site,reservoir,FB_TR,datetime_start.y,datetime_end.y,r2_lm_total,adj_r2_lm_total,pseudo_r2_huber_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,slope_sig_lm_total
1,2022-11-07 10:26:00,2022-11-07 11:20:00,6.256647119,10.3455829,9.607434387,9.867841972,9.607434387,lm,8.978136881,8.978136881,FALSE,0.977242313,5,5,0.629297506,3240,1.5,0.379669086,-0.227529817,67,BNFB,BN,FB,11/7/2022 10:26,11/7/2022 11:20,0.937194044,0.936009026,0.934462168,0.001147014,4.07864833590016e-05,1.57882246630243e-33,TRUE
9,2022-11-09 13:38:00,2022-11-09 15:53:00,5.167898351,4.27132262,5.325169371,5.323974106,5.325169371,lm,2.957435526,2.957435526,FALSE,0.961815965,5,5,2.367733845,8100,1.5,0.150941581,-0.10648816,90,CGFB,CG,FB,11/9/2022 13:38,11/9/2022 15:53,0.821390959,0.820058056,0.821207195,0.000647707,2.60917507459235e-05,5.71664340782539e-52,TRUE
21,2022-11-10 10:35:00,2022-11-10 13:28:00,-0.809717797,-0.910116308,0.172226715,0.446140503,0.172226715,lm,0.172226715,0.596255655,TRUE,0.558600953,5,5,0,10380,1.5,0.062894929,-0.069638346,95,DTFB,DT,FB,11/10/2022 10:35,11/10/2022 13:28,0.011069511,0.005319915,-0.027454427,2.18217473142801e-05,1.57269301964148e-05,0.167072166,FALSE
25,2022-11-10 15:35:00,2022-11-10 16:01:00,5.83788635,4.842876197,4.696230922,4.355694462,4.696230922,lm,1.673007837,1.673007837,FALSE,0.408472018,5,5,3.023223085,1560,1.5,0.325969549,-0.197363893,13,DTTR,DT,TR,11/10/2022 15:35,11/10/2022 16:01,0.788294803,0.779826595,0.782592188,0.000560168,5.80589847376892e-05,6.57207854777912e-10,TRUE
13,2022-11-11 10:42:00,2022-11-11 11:08:00,-0.925353146,-3.073734511,-3.11424248,-3.351323378,-3.11424248,lm,-3.609192817,-3.609192817,FALSE,0.819724971,5,5,0,1560,1.5,0.246449029,-0.287812084,13,DLFB,DL,FB,11/11/2022 10:42,11/11/2022 11:08,0.741651997,0.731318077,0.736446168,-0.000367164,4.33403090279294e-05,8.14041070733704e-09,TRUE
17,2022-11-11 14:46:00,2022-11-11 15:42:00,0.032155764,8.261854154,8.246405665,9.131440489,8.246405665,lm,0.172839982,0.172839982,FALSE,0.929916829,5,5,8.073565682,3360,1.5,0.215825995,-0.133316556,14,DLTR,DL,TR,11/11/2022 14:46,11/11/2022 15:42,0.595684394,0.588333201,0.58873092,0.000978225,0.00010867,2.09922640328479e-12,TRUE
29,2023-01-09 12:55:00,2023-01-09 13:34:00,1.3164667,2.032376277,2.831459366,3.760038367,2.831459366,lm,NA,NA,FALSE,NA,0,5,NA,2340,1.5,0.109412716,-0.065457954,0,DLFB,DL,FB,1/9/2023 12:55,1/9/2023 13:34,0.594834675,0.58417243,0.502114561,0.000336758,4.50862223402324e-05,5.75290899821452e-09,TRUE
32,2023-01-11 11:19:00,2023-01-11 14:08:00,0.687551566,0.506029275,0.303536596,0.303904301,0.303536596,lm,0.303536596,1.367540356,TRUE,0.734769841,5,5,0,10140,1.5,0.222468103,-0.224479712,132,DTFB,DT,FB,1/11/2023 11:19,1/11/2023 14:08,0.10973102,0.104166838,0.10957682,3.58376035375907e-05,8.07002505390184e-06,1.66410717431192e-05,TRUE
33,2023-01-12 12:17:00,2023-01-12 14:23:00,0.213514026,0.266363879,0.292348768,0.309071617,0.292348768,lm,0.001408041,0.001408041,FALSE,0.003180641,1,5,0.290940727,7560,1.5,0.001734711,-0.001622314,1,CGFB,CG,FB,1/12/2023 12:17,1/12/2023 14:23,0.552537484,0.548957783,0.550707948,3.48977475404831e-05,2.80892308715994e-06,1.41579256301352e-23,TRUE
34,2023-01-13 11:04:00,2023-01-13 11:58:00,4.06818535,3.861108689,3.912628542,3.9136103,3.912628542,lm,NA,NA,FALSE,NA,0,5,NA,3240,1.5,0.1241081,-0.074646046,0,BNFB,BN,FB,1/13/2023 11:04,1/13/2023 11:58,0.964690731,0.964024519,0.964673555,0.000463433,1.21786486970314e-05,3.66709521985557e-40,TRUE
