project_flux_id,datetime_start,datetime_end,total_CH4_flux_first_last_mgC_m2_d,total_CH4_flux_robust_5pt_mgC_m2_d,total_CH4_flux_lm_raw_mgC_m2_d,total_CH4_flux_huber_mgC_m2_d,total_CH4_flux_used_for_partition_mgC_m2_d,total_CH4_flux_method_used_for_partition,diffusive_flux_mgC_m2_d,diffusive_flux_median_raw,diffusive_flux_was_capped_to_total,r2_best_window,n_top_windows_used,top_k_requested,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,n_candidate_diffusive_windows,site,reservoir,FB_TR,datetime_start.y,datetime_end.y,r2_lm_total,adj_r2_lm_total,pseudo_r2_huber_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,slope_sig_lm_total
394,2023-08-07 20:37:00,2023-08-07 21:30:00,4.658737698,4.314736969,4.162759566,4.017350879,4.162759566,lm,1.471218239,1.471218239,FALSE,0.881190249,5,5,2.691541327,3180,1.5,0.136408931,-0.072450723,21,BVFB,BV,FB,8/7/2023 20:37,8/7/2023 21:30,0.867796564,0.862288087,0.866330851,0.000515369,4.1060591940663e-05,4.90347964622021e-12,TRUE
395,2023-08-07 22:01:09,2023-08-07 22:55:00,5.828326226,5.16335547,5.205781277,4.92729292,5.205781277,lm,5.060084546,5.060084546,FALSE,0.99132349,5,5,0.14569673,3231,1.5,0.105044762,-0.014344579,7,BVFB,BV,FB,8/7/2023 22:01,8/7/2023 22:55,0.905038557,0.901240099,0.901223936,0.000642844,4.16462585271104e-05,2.74134134959952e-14,TRUE
396,2023-08-07 23:27:00,2023-08-08 00:15:00,9.530488703,8.723137582,8.483748237,8.130194644,8.483748237,lm,5.502463626,5.502463626,FALSE,0.9902444,5,5,2.981284611,2880,1.5,0.177784196,-0.049370087,17,BVFB,BV,FB,8/7/2023 23:27,8/8/2023 0:15,0.934058326,0.931060977,0.931822117,0.001046329,5.92720510896278e-05,1.77868426732331e-14,TRUE
397,2023-08-08 00:55:01,2023-08-08 01:23:00,10.23237441,10.18867884,9.937432116,9.788270691,9.937432116,lm,NA,NA,FALSE,NA,0,5,NA,1679,1.5,0.17030014,-0.021429936,0,BVFB,BV,FB,8/8/2023 0:55,8/8/2023 1:23,0.965968565,0.963132612,0.965667261,0.001222239,6.6225352848914e-05,3.55651823197942e-10,TRUE
398,2023-08-08 02:21:00,2023-08-08 03:15:00,3.098084336,2.583489552,2.140373979,1.529952412,2.140373979,lm,0.786780539,0.786780539,FALSE,0.768734651,5,5,1.35359344,3240,1.5,0.124036808,-0.082718865,21,BVFB,BV,FB,8/8/2023 2:21,8/8/2023 3:15,0.616586821,0.600611272,0.546196846,0.00026313,4.23546689431051e-05,2.02511518505723e-06,TRUE
399,2023-08-08 03:49:00,2023-08-08 04:41:00,2.577871388,2.157701189,1.999189716,1.705095981,1.999189716,lm,1.086651837,1.086651837,FALSE,0.917268929,5,5,0.912537879,3120,1.5,0.095700629,-0.065488133,21,BVFB,BV,FB,8/8/2023 3:49,8/8/2023 4:41,0.745294384,0.73468165,0.722783819,0.000245613,2.9309036838935e-05,1.37424557694264e-08,TRUE
400,2023-08-08 05:15:00,2023-08-08 06:09:00,6.111685983,5.237654167,5.23894991,4.915803543,5.23894991,lm,5.23894991,5.38457481,TRUE,0.928491082,5,5,0,3240,1.5,0.195728991,-0.107108444,7,BVFB,BV,FB,8/8/2023 5:15,8/8/2023 6:09,0.834333599,0.827706943,0.829963954,0.000642415,5.72523041127729e-05,2.98708284155185e-11,TRUE
401,2023-08-08 06:41:00,2023-08-08 07:35:00,7.562948232,7.238495085,7.391665552,7.347189098,7.391665552,lm,7.391665552,9.793664987,TRUE,0.996667085,5,5,0,3240,1.5,0.202479456,-0.085613381,23,BVFB,BV,FB,8/8/2023 6:41,8/8/2023 7:35,0.86114968,0.855595668,0.861049188,0.000909283,7.30235942374735e-05,3.23866573195627e-12,TRUE
402,2023-08-08 09:32:00,2023-08-08 10:23:00,10.42407642,12.54935536,15.83954735,15.22908119,15.83954735,lm,0.581139779,0.581139779,FALSE,0.278455018,5,5,15.25840757,3060,1.5,0.548950844,-0.390236652,7,BVFB,BV,FB,8/8/2023 9:32,8/8/2023 10:23,0.690246246,0.676778691,0.687721076,0.001975581,0.000275954,2.72927261932044e-07,TRUE
403,2023-08-08 10:58:00,2023-08-08 11:53:00,6.256502631,0.628659748,0.766287186,-1.883855956,0.766287186,lm,NA,NA,FALSE,NA,0,5,NA,3300,1.5,0.090378696,-0.110356666,0,BVFB,BV,FB,8/8/2023 10:58,8/8/2023 11:53,0.021647621,-0.017486474,-0.338403392,9.66568923808763e-05,0.000129959,0.463960597,FALSE
404,2023-08-08 12:24:00,2023-08-08 13:19:00,-0.678728138,-3.776425044,-3.128331975,-3.112871438,-3.128331975,lm,-2.384603977,-2.384603977,FALSE,0.61777766,5,5,0,3300,1.5,0.236106552,-0.254080987,21,BVFB,BV,FB,8/8/2023 12:24,8/8/2023 13:19,0.671973142,0.658305356,0.671660798,-0.000398201,5.67904915969364e-05,2.99722738947415e-07,TRUE
405,2023-08-08 13:53:00,2023-08-08 14:45:00,-1.025953306,-1.365104723,-1.050069477,-1.010477428,-1.050069477,lm,-3.076380268,-3.076380268,FALSE,0.257935024,3,5,0,3120,1.5,0.339543391,-0.405779137,3,BVFB,BV,FB,8/8/2023 13:53,8/8/2023 14:45,0.181215659,0.147099645,0.178537085,-0.000134727,5.84567642551467e-05,0.03014179,TRUE
