project_flux_id,datetime_start,datetime_end,total_CH4_flux_first_last_mgC_m2_d,total_CH4_flux_robust_5pt_mgC_m2_d,total_CH4_flux_lm_raw_mgC_m2_d,total_CH4_flux_huber_mgC_m2_d,total_CH4_flux_used_for_partition_mgC_m2_d,total_CH4_flux_method_used_for_partition,diffusive_flux_mgC_m2_d,diffusive_flux_median_raw,diffusive_flux_was_capped_to_total,r2_best_window,n_top_windows_used,top_k_requested,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,n_candidate_diffusive_windows,site,reservoir,FB_TR,datetime_start.y,datetime_end.y,r2_lm_total,adj_r2_lm_total,pseudo_r2_huber_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,slope_sig_lm_total
106,2023-05-08 14:46:00,2023-05-08 15:12:00,3.64278352,3.506759412,3.465266039,3.359623004,3.465266039,lm,2.41072724,2.41072724,FALSE,0.965969625,5,5,1.054538799,1560,1.5,0.090921782,-0.034077837,11,BVTR,BV,TR,5/8/2023 14:46,5/8/2023 15:12,0.915683625,0.912170442,0.914002924,0.000429804,2.6622477099606e-05,2.16698776566777e-14,TRUE
118,2023-05-11 12:04:00,2023-05-11 14:55:00,1.089193009,0.853111127,0.599869033,0.581288026,0.599869033,lm,0.599869033,0.715862344,TRUE,0.904799974,5,5,0,10260,1.5,0.068793839,-0.050373362,104,CGFB,CG,FB,5/11/2023 12:04,5/11/2023 14:55,0.83967088,0.838722187,0.838609464,7.77746003252637e-05,2.61424384049887e-06,4.45004656394035e-69,TRUE
122,2023-05-12 10:01:00,2023-05-12 13:03:00,0.932152941,0.930112497,0.771846126,0.766959503,0.771846126,lm,0.771846126,3.070067031,TRUE,0.995923777,5,5,0,10920,1.5,0.045014033,-0.029998198,171,DTFB,DT,FB,5/12/2023 10:01,5/12/2023 13:03,0.861929803,0.861158461,0.861889003,9.86137851978712e-05,2.95002119817164e-06,7.01023382014199e-79,TRUE
129,2023-06-15 10:28:00,2023-06-15 13:04:00,1.145923699,1.008704663,0.610774082,0.513828054,0.610774082,lm,0.610774082,0.979672348,TRUE,0.948353612,5,5,0,9360,1.5,0.055729665,-0.040771389,165,DTFB,DT,FB,6/15/2023 10:28,6/15/2023 13:04,0.690458998,0.688448991,0.666435488,7.76505220219944e-05,4.18961547367804e-06,4.6985796212896e-41,TRUE
162,2023-09-11 10:08:00,2023-09-11 10:53:00,3.653536007,2.981862485,2.571964057,2.353068318,2.571964057,lm,1.736409877,1.736409877,FALSE,0.990104568,5,5,0.83555418,2700,1.5,0.073189696,-0.025993698,49,BVFB,BV,FB,9/11/2023 10:08,9/11/2023 10:53,0.863204379,0.860095387,0.854579174,0.000318957,1.91419102520055e-05,1.26413578342361e-20,TRUE
164,2023-09-11 12:45:00,2023-09-11 13:28:00,4.3229768,3.163150695,2.535834782,1.964032396,2.535834782,lm,2.535834782,4.132957074,TRUE,0.98902751,5,5,0,2580,1.5,0.143007781,-0.102241703,20,BVTR,BV,TR,9/11/2023 12:45,9/11/2023 13:28,0.404277858,0.390093997,0.376008486,0.000323944,6.06774583265141e-05,3.52188182738778e-06,TRUE
174,2023-09-12 11:10:00,2023-09-12 11:36:00,8.734631147,7.959611627,8.099000912,7.780836885,8.099000912,lm,3.17147186,3.17147186,FALSE,0.834987023,5,5,4.927529053,1560,1.5,0.256610731,-0.120563196,13,DLFB,DL,FB,9/12/2023 11:10,9/12/2023 11:36,0.916724948,0.913393946,0.914420806,0.001021806,6.15936900455433e-05,5.2783123067047e-15,TRUE
178,2023-09-12 13:05:00,2023-09-12 13:57:00,7.125241731,6.58414766,5.226187107,4.082586249,5.226187107,lm,3.616047455,3.616047455,FALSE,0.971369305,5,5,1.610139652,3120,1.5,0.196536982,-0.104405775,45,DLTR,DL,TR,9/12/2023 13:05,9/12/2023 13:57,0.777362761,0.772997324,0.72505984,0.000675945,5.06539695673898e-05,2.89828594196154e-18,TRUE
185,2023-09-15 10:23:00,2023-09-15 16:08:00,1.465755097,1.351964909,1.48631442,1.535458068,1.48631442,lm,1.205703289,1.205703289,FALSE,0.872406166,5,5,0.280611132,20700,1.5,0.239339889,-0.218620034,226,DTFB,DT,FB,9/15/2023 10:23,9/15/2023 16:08,0.496384651,0.494810853,0.470020775,0.000196182,1.10465175049212e-05,1.36644478611359e-49,TRUE
225,2024-01-22 11:11:00,2024-01-22 12:13:00,0.43618578,0.33703699,0.042611233,-0.113134728,0.042611233,lm,0.042611233,0.243625435,TRUE,0.791172964,5,5,0,3720,1.5,0.02797414,-0.024357072,23,DLFB,DL,FB,1/22/2024 11:11,1/22/2024 12:13,0.007215262,-0.00933115,-0.12550279,5.09901002061399e-06,7.72167860299467e-06,0.511556587,FALSE
228,2024-01-22 13:52:00,2024-01-22 15:10:00,0.021838611,0.003571124,0.035448073,0.041288368,0.035448073,lm,NA,NA,FALSE,NA,0,5,NA,4680,1.5,0.006121955,-0.005213986,0,DLTR,DL,TR,1/22/2024 13:52,1/22/2024 15:10,0.249516546,0.239641763,0.242595856,4.19471012793397e-06,8.34480215788592e-07,3.22931174612233e-06,TRUE
233,2024-01-24 10:16:00,2024-01-24 10:53:00,1.807469293,1.849944106,1.705843663,1.662391416,1.705843663,lm,1.37041199,1.37041199,FALSE,0.989010322,5,5,0.335431673,2220,1.5,0.031933676,-0.007461525,33,CGFB,CG,FB,1/24/2024 10:16,1/24/2024 10:53,0.981377499,0.980845427,0.980500172,0.000204129,4.75304379601857e-06,7.1833839309284e-32,TRUE
236,2024-01-24 11:17:00,2024-01-24 12:46:00,0.383014136,0.429024811,0.430008896,0.337628432,0.430008896,lm,0.430008896,0.516780142,TRUE,0.905558276,5,5,0,5340,1.5,0.037883343,-0.036497393,42,CGFB,CG,FB,1/24/2024 11:17,1/24/2024 12:46,0.382064938,0.374962236,0.353680056,5.17410115718497e-05,7.0546929450872e-06,1.09221354045415e-10,TRUE
241,2024-01-25 10:34:00,2024-01-25 12:00:00,0.131073289,0.087228312,0.041775191,0.035660984,0.041775191,lm,0.041775191,0.055632771,TRUE,0.952958402,5,5,0,5160,1.5,0.00217021,-0.001302126,9,DTFB,DT,FB,1/25/2024 10:34,1/25/2024 12:00,0.310971275,0.302768552,0.30198297,4.93341548005319e-06,8.01247294621439e-07,2.44092578655989e-08,TRUE
245,2024-01-29 09:37:00,2024-01-29 10:24:00,1.011247975,1.154226856,1.505321706,1.546704299,1.505321706,lm,0.134753154,0.134753154,FALSE,0.211936933,3,5,1.370568551,2820,1.5,0.033465105,-0.041298335,3,BVFB,BV,FB,1/29/2024 9:37,1/29/2024 10:24,0.432173887,0.419829841,0.42053863,0.000177683,3.00292535404269e-05,3.85593529723569e-07,TRUE
249,2024-01-29 12:44:00,2024-01-29 13:30:00,0.50032546,0.385372773,-0.237210277,-0.347952992,-0.237210277,lm,-4.451383702,-4.451383702,FALSE,0.995534038,5,5,0,2760,1.5,0.076092893,-0.085326689,45,BVTR,BV,TR,1/29/2024 12:44,1/29/2024 13:30,0.011488787,-0.010478129,0.00805492,-2.88E-05,3.98302312633772e-05,0.473305457,FALSE
452,2024-09-22 10:46:00,2024-09-22 11:56:00,6.415752679,5.672663109,4.826034258,4.296298781,4.826034258,lm,4.826034258,5.766012257,TRUE,0.993058465,5,5,0,4200,1.5,0.184605694,-0.104513723,79,DLFB,DL,FB,9/22/2024 10:46,9/22/2024 11:56,0.765470417,0.762021452,0.752496526,0.000615496,4.13147776638655e-05,4.23606959067347e-23,TRUE
