project_flux_id,datetime_start,datetime_end,total_CH4_flux_first_last_mgC_m2_d,total_CH4_flux_robust_5pt_mgC_m2_d,total_CH4_flux_lm_raw_mgC_m2_d,total_CH4_flux_huber_mgC_m2_d,total_CH4_flux_used_for_partition_mgC_m2_d,total_CH4_flux_method_used_for_partition,diffusive_flux_mgC_m2_d,diffusive_flux_median_raw,diffusive_flux_was_capped_to_total,r2_best_window,n_top_windows_used,top_k_requested,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,n_candidate_diffusive_windows,site,reservoir,FB_TR,datetime_start.y,datetime_end.y,r2_lm_total,adj_r2_lm_total,pseudo_r2_huber_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,slope_sig_lm_total
3,2022-11-07 10:26:00,2022-11-07 11:20:00,55.36971082,48.5770587,49.27022031,49.59615246,49.27022031,lm,34.82407627,34.82407627,FALSE,0.631406722,5,5,14.44614405,3240,1.5,4.625505059,-3.993281941,67,BNFB,BN,FB,11/7/2022 10:26,11/7/2022 11:20,0.935547138,0.93430766,0.935505711,0.005843221,0.000212686,1.24756382631598e-32,TRUE
56,2023-01-11 11:19:00,2023-01-11 14:08:00,2.549313717,4.83272481,3.767381515,3.315259954,3.767381515,lm,3.767381515,20.23778864,TRUE,0.465402305,5,5,0,10140,1.5,2.418818217,-2.376766775,104,DTFB,DT,FB,1/11/2023 11:19,1/11/2023 14:08,0.55886451,0.556222981,0.547966542,0.000442633,3.04311550833237e-05,1.72200610238225e-31,TRUE
57,2023-01-12 12:17:00,2023-01-12 14:23:00,0.988461018,1.050453111,1.139642132,1.163994305,1.139642132,lm,1.139642132,23.5078742,TRUE,0.384632932,5,5,0,7560,1.5,4.175475519,-4.198207789,111,CGFB,CG,FB,1/12/2023 12:17,1/12/2023 14:23,0.065786611,0.058252632,0.064360389,0.000135139,4.57324080438944e-05,0.003742962,TRUE
58,2023-01-13 11:04:00,2023-01-13 11:58:00,4.435681153,8.71809923,5.015454744,4.852626442,5.015454744,lm,5.015454744,8.677906563,TRUE,0.204621993,5,5,0,3240,1.5,2.978771163,-2.619558229,40,BNFB,BN,FB,1/13/2023 11:04,1/13/2023 11:58,0.306816558,0.293486107,0.306289408,0.000590253,0.000123033,1.39263129794958e-05,TRUE
85,2023-03-06 12:06:00,2023-03-06 12:48:00,8.131769271,7.151438276,7.740761147,7.624429104,7.740761147,lm,7.740761147,9.107784612,TRUE,0.280171678,3,5,0,2520,1.5,1.725848148,-1.715532192,3,DLFB,DL,FB,3/6/2023 12:06,3/6/2023 12:48,0.495111641,0.482489432,0.491396666,0.000933273,0.000149013,2.01722816241808e-07,TRUE
88,2023-03-08 10:28:00,2023-03-08 11:58:00,7.993238755,5.826298737,2.453515443,1.599771301,2.453515443,lm,2.453515443,57.10138761,TRUE,0.825703112,5,5,0,5400,1.5,2.904740314,-2.570090742,38,DTFB,DT,FB,3/8/2023 10:28,3/8/2023 11:58,0.08591564,0.075528318,0.073688962,0.000295288,0.000102674,0.005051801,TRUE
89,2023-03-09 09:17:00,2023-03-09 11:23:00,5.152716311,3.126623709,2.103711616,1.954026148,2.103711616,lm,2.103711616,27.67010836,TRUE,0.558939108,5,5,0,7560,1.5,3.535617658,-3.49488831,100,CGFB,CG,FB,3/9/2023 9:17,3/9/2023 11:23,0.216966715,0.21065193,0.212278485,0.000245464,4.18764686685382e-05,3.88029748278175e-08,TRUE
90,2023-03-10 09:36:00,2023-03-10 10:06:00,25.75472775,22.89125233,19.61079787,20.09454465,19.61079787,lm,16.5576111,16.5576111,FALSE,0.21159385,5,5,3.053186767,1800,1.5,2.843567722,-2.314107337,17,BVFB,BV,FB,3/10/2023 9:36,3/10/2023 10:06,0.624604374,0.611197387,0.624206729,0.002309597,0.000338376,2.04739706320878e-07,TRUE
92,2023-03-10 12:40:00,2023-03-10 13:06:00,-4.698780995,-30.7346169,-32.52220474,-36.92754374,-32.52220474,lm,-61.98768357,-61.98768357,FALSE,0.764259621,5,5,0,1560,1.5,3.225361156,-3.310647628,11,BVTR,BV,TR,3/10/2023 12:40,3/10/2023 13:06,0.524615131,0.504807428,0.510862013,-0.003872409,0.00075245,2.86983601443703e-05,TRUE
94,2023-05-01 14:35:00,2023-05-01 15:01:00,37.01998263,40.30135491,37.25049775,37.45700165,37.25049775,lm,2.4,NA,FALSE,NA,0,5,0,1560,1.5,2.310796975,-2.277094209,0,BVFB,BV,FB,5/1/2023 14:35,5/1/2023 15:01,0.837639115,0.830874078,0.837598456,0.004502831,0.000404662,5.86646003416494e-11,TRUE
