project_flux_id,datetime_start,datetime_end,total_CH4_flux_first_last_mgC_m2_d,total_CH4_flux_robust_5pt_mgC_m2_d,total_CH4_flux_lm_raw_mgC_m2_d,total_CH4_flux_huber_mgC_m2_d,total_CH4_flux_used_for_partition_mgC_m2_d,total_CH4_flux_method_used_for_partition,diffusive_flux_mgC_m2_d,diffusive_flux_median_raw,diffusive_flux_was_capped_to_total,r2_best_window,n_top_windows_used,top_k_requested,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,n_candidate_diffusive_windows,site,reservoir,FB_TR,datetime_start.y,datetime_end.y,r2_lm_total,adj_r2_lm_total,pseudo_r2_huber_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,slope_sig_lm_total
12,2022-11-09 13:38:00,2022-11-09 15:53:00,-0.779645337,-2.026549821,-5.349863457,-5.413217987,-5.349863457,lm,-1.254491599,-1.254491599,FALSE,0.9388075,5,5,0,8100,1.5,0.125017326,-0.120595301,123,CGFB,CG,FB,11/9/2022 13:38,11/9/2022 15:53,0.681963471,0.679590064,0.681714029,-0.000649885,3.83391293845674e-05,3.84750617743258e-35,TRUE
24,2022-11-10 10:35:00,2022-11-10 13:28:00,2.40964085,2.477331982,0.952749019,0.08491335,0.952749019,lm,0.952749019,19.25934786,TRUE,0.999133838,5,5,0,10380,1.5,0.285344068,-0.25313313,117,DTFB,DT,FB,11/10/2022 10:35,11/10/2022 13:28,0.11319951,0.108043693,-0.018206737,0.000118916,2.53784752027048e-05,5.64814121781344e-06,TRUE
28,2022-11-10 15:35:00,2022-11-10 16:01:00,5.980791202,7.14609301,7.035916159,7.035916159,7.035916159,lm,0.719565427,0.719565427,FALSE,0.710868172,5,5,6.316350733,1560,1.5,0.175810022,-0.122660523,13,DTTR,DT,TR,11/10/2022 15:35,11/10/2022 16:01,0.7114308,0.699888032,0.7114308,0.000836945,0.000106607,3.30654057217378e-08,TRUE
16,2022-11-11 10:42:00,2022-11-11 11:08:00,3.657416092,1.317433193,2.046592045,1.272267941,2.046592045,lm,0.842855518,0.842855518,FALSE,0.524761253,5,5,1.203736527,1560,1.5,0.104702225,-0.077827745,13,DLFB,DL,FB,11/11/2022 10:42,11/11/2022 11:08,0.496272544,0.476123445,0.395166827,0.00024241,4.88448202992575e-05,4.10307161459126e-05,TRUE
20,2022-11-11 14:46:00,2022-11-11 15:42:00,0.484103834,0.080026477,-1.620115119,-1.671317194,-1.620115119,lm,2.286368359,2.286368359,FALSE,0.974146789,5,5,0,3360,1.5,0.094944842,-0.06494735,48,DLTR,DL,TR,11/11/2022 14:46,11/11/2022 15:42,0.233282111,0.219341785,0.232869991,-0.000192314,4.7011814955167e-05,0.000141601,TRUE
37,2023-01-09 12:52:00,2023-01-09 13:40:00,0.441682132,0.721376818,1.016378185,0.944018704,1.016378185,lm,1.016378185,1.199937285,TRUE,0.795499498,5,5,0,2880,1.5,0.092926291,-0.091809096,17,DLFB,DL,FB,1/9/2023 12:52,1/9/2023 13:40,0.30947499,0.294782969,0.306925413,0.000120962,2.63559342170822e-05,3.31899677137817e-05,TRUE
40,2023-01-11 11:19:00,2023-01-11 14:08:00,0.59785377,0.737561813,0.687237283,0.604125357,0.687237283,lm,0.687237283,1.447350499,TRUE,0.587146645,5,5,0,10140,1.5,0.175777974,-0.168015665,166,DTFB,DT,FB,1/11/2023 11:19,1/11/2023 14:08,0.475464463,0.472342228,0.461143326,8.10896948501845e-05,6.57112081875573e-06,2.56093487704418e-25,TRUE
41,2023-01-12 12:17:00,2023-01-12 14:23:00,-0.174050841,-0.40359199,-0.304839162,-0.250987748,-0.304839162,lm,-2.855304252,-2.855304252,FALSE,0.671779063,5,5,0,7560,1.5,0.217627796,-0.217651291,73,CGFB,CG,FB,1/12/2023 12:17,1/12/2023 14:23,0.219642066,0.213399202,0.202769836,-3.63E-05,6.12574186051121e-06,2.74608972971929e-08,TRUE
42,2023-01-13 11:04:00,2023-01-13 11:58:00,-2.283570434,-1.921329338,-1.627211356,-1.413010122,-1.627211356,lm,-1.118693512,-1.118693512,FALSE,0.893433806,5,5,0,3240,1.5,0.064288224,-0.096639836,69,BNFB,BN,FB,1/13/2023 11:04,1/13/2023 11:58,0.886770642,0.884634239,0.865909648,-0.000192686,9.45773062811695e-06,9.83467570290866e-27,TRUE
69,2023-03-06 12:06:00,2023-03-06 12:48:00,3.262265586,2.961533368,2.803432267,2.819219732,2.803432267,lm,0.5776215,0.5776215,FALSE,0.818993521,4,5,2.225810767,2520,1.5,0.193487982,-0.151548226,4,DLFB,DL,FB,3/6/2023 12:06,3/6/2023 12:48,0.818746543,0.814325727,0.817627562,0.00034364,2.52510809889754e-05,8.49151854552341e-17,TRUE
