"project_flux_id","datetime_start","datetime_end","mdf_quantile_used","mdf_global_lm_mgC_m2_d","mdf_global_huber_mgC_m2_d","mdf_global_for_partition_mgC_m2_d","total_CH4_flux_first_last_mgC_m2_d","total_CH4_flux_robust_5pt_mgC_m2_d","total_CH4_flux_lm_raw_mgC_m2_d","total_CH4_flux_lm_mgC_m2_d","total_CH4_flux_huber_raw_mgC_m2_d","total_CH4_flux_huber_mgC_m2_d","total_CH4_flux_used_for_partition_mgC_m2_d","total_CH4_flux_method_used_for_partition","diffusive_flux_mgC_m2_d","diffusive_flux_median_raw","diffusive_flux_was_capped_to_total","r2_best_window","n_top_windows_used","top_k_requested","ebullitive_first_last_mgC_m2_d","ebullitive_robust_5pt_mgC_m2_d","ebullitive_lm_raw_mgC_m2_d","ebullitive_lm_mdf_mgC_m2_d","ebullitive_huber_raw_mgC_m2_d","ebullitive_huber_mdf_mgC_m2_d","diffusive_used_first_last_mgC_m2_d","diffusive_used_robust_5pt_mgC_m2_d","diffusive_used_lm_raw_mgC_m2_d","diffusive_used_lm_mdf_mgC_m2_d","diffusive_used_huber_raw_mgC_m2_d","diffusive_used_huber_mdf_mgC_m2_d","deployment_duration_sec","jump_iqr_k","jump_threshold_pos_ppm_min","jump_threshold_neg_ppm_min","n_candidate_diffusive_windows","site","reservoir","FB_TR","max_diffusive_rate_pos_ppm_min_iqr","max_diffusive_rate_neg_ppm_min_iqr","bubble_steps_n","bubble_sum_increment_ppm","ebullitive_flux_sum_ppm_mgC_m2_d","diffusive_flux_prime_lm_mgC_m2_d","diffusive_prime_lm_r2","net_flux_prime_lm_plus_ebull_mgC_m2_d","net_minus_total_lm_raw_mgC_m2_d","r2_lm_total","adj_r2_lm_total","pseudo_r2_huber_total","n_points","t_peak_min","start_ch4_ppm","peak_ch4_ppm","end_ch4_ppm","peak_minus_start_ppm","end_minus_peak_ppm","end_minus_start_ppm","frac_jump","rate_sd_ppm_min","ch4_sd_ppm","neg_flag_lm","early_peak_flag"
53,2023-01-09 12:52:00,2023-01-09 13:58:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,0.700870809999562,0.821674182044622,1.16868268055335,1.16868268055335,1.17733240593658,1.17733240593658,1.16868268055335,"lm",0.144128458767568,0.144128458767568,FALSE,0.630037873225085,5,5,0.556742351231995,0.677545723277055,1.02455422178578,1.02455422178578,1.03320394716902,1.03320394716902,0.144128458767568,0.144128458767568,0.144128458767568,0.144128458767568,0.144128458767568,0.144128458767568,3960,1.5,0.0410666708258678,-0.031860589984231,53,"DLFB","DL","FB",0.0410666708258678,-0.031860589984231,2,0.0887454483681811,0.188640893680017,0.905208817899013,0.779623385138744,1.09384971157903,-0.0748329689743208,0.780442941824929,0.777065140929928,0.780385306854986,67,55,-16.2150466333604,-15.8651084831466,-15.8853244131768,0.349938150213793,-0.0202159300302576,0.329722220183536,0.0298507462686567,0.0141042748855154,0.183735709700817,FALSE,FALSE
54,2023-01-09 14:32:00,2023-01-09 15:01:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,3.76088704348824,4.23761063956739,4.65035929302913,4.65035929302913,4.70727705328392,4.70727705328392,4.65035929302913,"lm",4.65035929302913,6.65742971712547,TRUE,0.997195066224528,5,5,0,0,0,0,0,0,3.76088704348824,4.23761063956739,4.65035929302913,4.65035929302913,4.70727705328392,4.70727705328392,1740,1.5,0.0858022918145078,-0.0332536680708646,19,"DLFB","DL","FB",0.0858022918145078,-0.0332536680708646,0,0,0,4.65035929302913,0.963933164352474,4.65035929302913,0,0.963933164352474,0.962645063079348,0.96373695399909,30,29,-16.1627087152145,-15.3854128772948,-15.3854128772948,0.777295837919732,0,0.777295837919732,0,0.0229673392591425,0.297174782089354,FALSE,FALSE
146,2023-07-19 09:46:00,2023-07-19 10:16:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,2.69457082444834,2.36537248772302,-0.0538450367254764,0,-1.56765671940169,-1.56765671940169,0,"lm",-8.07910883848198,-8.07910883848198,FALSE,0.85144462820934,5,5,2.69457082444834,2.36537248772302,0,0,0,0,0,0,0,0,0,0,1800,1.5,0.0289105525329796,-0.0481842542216326,185,"DLFB","DL","FB",0.0289105525329796,-0.0481842542216326,4,0.553326599423631,2.36575388921231,-2.72148840859263,0.274832124307441,-0.355734519380319,-0.301889482654842,0.000106706633274688,-0.00532749604806604,-0.118144584119453,186,9,-10.0600745232379,-8.50673759973185,-9.42984087213969,1.55333692350608,-0.923103272407845,0.630233651098237,0.032258064516129,0.0666893284910887,0.364465395996454,FALSE,TRUE
147,2023-07-19 12:51:00,2023-07-19 13:34:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,8.45597444831689,7.69309561113765,2.18841943546639,2.18841943546639,0.407537896161438,0,2.18841943546639,"lm",1.14181939088299e-13,1.14181939088299e-13,FALSE,0.596330275229358,5,5,8.45597444831678,7.69309561113754,2.18841943546628,2.18841943546628,0.407537896161324,0,1.14181939088299e-13,1.14181939088299e-13,1.14181939088299e-13,1.14181939088299e-13,1.14181939088299e-13,1.14181939088299e-13,2580,1.5,0.00768732533331873,-0.00461239519999124,48,"DLTR","DL","TR",0.00768732533331873,-0.00461239519999124,9,0.962234979929159,2.82356751309508,-0.531910218899844,0.0118849452753539,2.29165729419524,0.103237858728848,0.146839820422495,0.143583483859222,0.0224761609855554,264,14,-10.3830141483739,-6.87924302421631,-7.5013283498861,3.50377112415761,-0.622085325669792,2.88168579848782,0.0681818181818182,0.072756787444479,0.575833729703555,FALSE,TRUE
181,2023-09-15 10:22:00,2023-09-15 16:08:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,3.61884109603977,2.95614767328412,-6.64017214423242,-6.64017214423242,-1.45186531423848,-1.45186531423848,-6.64017214423242,"lm",2.89790727563523,2.89790727563523,FALSE,0.743841322970285,5,5,0.720933820404543,0.0582403976488872,0,0,0,0,2.89790727563523,2.89790727563523,2.89790727563523,2.89790727563523,2.89790727563523,2.89790727563523,20760,1.5,7.08159018143082,-4.68039406075432,145,"DTFB","DT","FB",7.08159018143082,-4.68039406075432,5,38.8738363484277,78.1162888900701,-18.4964276081185,0.176021163220247,59.6198612819517,66.2600334261841,0.146117161035949,0.137492081854493,0.0251200031590154,101,1,0.637344315960345,9.04397727046983,2.43822654599544,8.40663295450948,-6.60575072447439,1.80088223003509,0.0495049504950495,3.0817856719038,2.33993377644253,TRUE,TRUE
361,2024-05-14 13:34:00,2024-05-14 15:29:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,3.72689767925624,2.96291818835139,1.70331774519036,1.70331774519036,1.22520353989238,1.22520353989238,1.70331774519036,"lm",1.70331774519036,3.58505962305529,TRUE,0.823636887833981,5,5,0.141838056200949,0,0,0,0,0,3.58505962305529,2.96291818835139,1.70331774519036,1.70331774519036,1.22520353989238,1.22520353989238,6900,1.5,0.210467865155607,-0.150303655703567,39,"DTFB","DT","FB",0.210467865155607,-0.150303655703567,6,1.89756241731598,2.14965668669329,1.21005339763416,0.854022499516957,3.35971008432746,1.65639233913709,0.612776762725717,0.609380067661908,0.545363165578297,116,111,-10.7184341689654,-7.25746415127077,-7.42859676696739,3.46097001769466,-0.171132615696621,3.28983740199804,0.155172413793103,0.116810015027858,0.56170068477632,FALSE,FALSE
365,2024-05-15 11:41:00,2024-05-15 13:40:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,0.870650664238019,-1.29557550570506,-3.19787848992691,-3.19787848992691,-3.52502718383499,-3.52502718383499,-3.19787848992691,"lm",-6.41826616228094,-6.41826616228094,FALSE,0.928965587583962,5,5,0.870650664238019,0,0,0,0,0,0,0,0,0,0,0,7140,1.5,0.279928432393882,-0.298680130450608,176,"CGFB","CG","FB",0.279928432393882,-0.298680130450608,5,3.43277495297876,3.69029300698753,-3.70946519706068,0.918764639073866,-0.0191721900731525,3.17870629985376,0.733120963509628,0.73085927675971,0.72202549068335,120,11,-9.35179082530201,-5.2362925111282,-8.5418963840391,4.11549831417381,-3.3056038729109,0.809894441262911,0.05,0.183840529419104,1.01555709567393,TRUE,TRUE
373,2024-05-16 12:43:00,2024-05-16 13:24:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,6.75834810301787,1.58884612454538,-7.21171491479739,-7.21171491479739,-10.3622354250588,-10.3622354250588,-7.21171491479739,"lm",-6.43136190981711,-6.43136190981711,FALSE,0.874564938928912,5,5,6.75834810301787,1.58884612454538,0,0,0,0,0,0,0,0,0,0,2460,1.5,0.469069992940301,-0.538306270311691,27,"DLFB","DL","FB",0.469069992940301,-0.538306270311691,7,6.51762076314683,21.1648752369978,-18.1368880105204,0.82569375082074,3.0279872264774,10.2397021412748,0.156755661337,0.135674552870425,0.123564141495887,42,9,-14.5304911863413,-7.52994027080123,-12.4492906393235,7.00055091554003,-4.91935036852223,2.08120054701779,0.261904761904762,0.474946625928538,1.6783583763839,TRUE,TRUE
385,2024-05-17 12:51:00,2024-05-17 13:36:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,8.68924262959507,7.56127956968586,5.91725838842788,5.91725838842788,4.40120140133401,4.40120140133401,5.91725838842788,"lm",5.91725838842788,6.92019182986361,TRUE,0.915592982307736,5,5,1.76905079973146,0.641087739822249,0,0,0,0,6.92019182986361,6.92019182986361,5.91725838842788,5.91725838842788,4.40120140133401,4.40120140133401,2700,1.5,0.661498782553472,-0.536954808487182,24,"BVTR","BV","TR",0.661498782553472,-0.536954808487182,0,0,0,5.91725838842788,0.409168726770189,5.91725838842788,0,0.409168726770189,0.395740743287694,0.371108305030821,46,38,-15.3945445265935,-11.5820386287988,-12.4701259330038,3.81250589779471,-0.888087304204953,2.92441859358975,0,0.191934535363161,0.928649091018375,FALSE,FALSE
393,2024-05-21 10:31:00,2024-05-21 11:16:00,0.5,0.695942330014798,0.436196802336564,0.695942330014798,2.59817638784096,2.16888772908412,1.83704512178387,1.83704512178387,1.7438053687027,1.7438053687027,1.83704512178387,"lm",0.446177074967155,0.446177074967155,FALSE,0.776925098715365,5,5,2.15199931287381,1.72271065411696,1.39086804681671,1.39086804681671,1.29762829373555,1.29762829373555,0.446177074967155,0.446177074967155,0.446177074967155,0.446177074967155,0.446177074967155,0.446177074967155,2700,1.5,0.0920331062659514,-0.0542512334708576,51,"DLTR","DL","TR",0.0920331062659514,-0.0542512334708576,0,0,0,1.83704512178387,0.874904567993718,1.83704512178387,0,0.874904567993718,0.872061489993575,0.871211650572373,46,45,-15.9734759325596,-15.1229116608688,-15.1229116608688,0.850564271690867,0,0.850564271690867,0,0.0297499537900439,0.191779726118049,FALSE,FALSE
