project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,r2_best_window,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,early_peak_flag
394,8/7/2023 20:37,8/7/2023 21:30,4.162759566,1.471218239,0.881190249,2.691541327,3180,1.5,0.136408931,-0.072450723,BVFB,BV,FB,0.867796564,0.862288087,0.000515369,4.1060591940663e-05,4.90347964622021e-12,FALSE
395,8/7/2023 22:01,8/7/2023 22:55,5.205781277,5.060084546,0.99132349,0.14569673,3231,1.5,0.105044762,-0.014344579,BVFB,BV,FB,0.905038557,0.901240099,0.000642844,4.16462585271104e-05,2.74134134959952e-14,FALSE
396,8/7/2023 23:27,8/8/2023 0:15,8.483748237,5.502463626,0.9902444,2.981284611,2880,1.5,0.177784196,-0.049370087,BVFB,BV,FB,0.934058326,0.931060977,0.001046329,5.92720510896278e-05,1.77868426732331e-14,FALSE
397,8/8/2023 0:55,8/8/2023 1:23,9.937432116,NA,NA,NA,1679,1.5,0.17030014,-0.021429936,BVFB,BV,FB,0.965968565,0.963132612,0.001222239,6.6225352848914e-05,3.55651823197942e-10,FALSE
398,8/8/2023 2:21,8/8/2023 3:15,2.140373979,0.786780539,0.768734651,1.35359344,3240,1.5,0.124036808,-0.082718865,BVFB,BV,FB,0.616586821,0.600611272,0.00026313,4.23546689431051e-05,2.02511518505723e-06,FALSE
399,8/8/2023 3:49,8/8/2023 4:41,1.999189716,1.086651837,0.917268929,0.912537879,3120,1.5,0.095700629,-0.065488133,BVFB,BV,FB,0.745294384,0.73468165,0.000245613,2.9309036838935e-05,1.37424557694264e-08,FALSE
400,8/8/2023 5:15,8/8/2023 6:09,5.23894991,5.23894991,0.928491082,0,3240,1.5,0.195728991,-0.107108444,BVFB,BV,FB,0.834333599,0.827706943,0.000642415,5.72523041127729e-05,2.98708284155185e-11,FALSE
401,8/8/2023 6:41,8/8/2023 7:35,7.391665552,7.391665552,0.996667085,0,3240,1.5,0.202479456,-0.085613381,BVFB,BV,FB,0.86114968,0.855595668,0.000909283,7.30235942374735e-05,3.23866573195627e-12,FALSE
402,8/8/2023 9:32,8/8/2023 10:23,15.83954735,0.581139779,0.278455018,15.25840757,3060,1.5,0.548950844,-0.390236652,BVFB,BV,FB,0.690246246,0.676778691,0.001975581,0.000275954,2.72927261932044e-07,FALSE
403,8/8/2023 10:58,8/8/2023 11:53,0.766287186,NA,NA,NA,3300,1.5,0.090378696,-0.110356666,BVFB,BV,FB,0.021647621,-0.017486474,9.66568923808763e-05,0.000129959,0.463960597,FALSE
404,8/8/2023 12:24,8/8/2023 13:19,-3.128331975,-2.384603977,0.61777766,0,3300,1.5,0.236106552,-0.254080987,BVFB,BV,FB,0.671973142,0.658305356,-0.000398201,5.67904915969364e-05,2.99722738947415e-07,TRUE
405,8/8/2023 13:53,8/8/2023 14:45,-1.050069477,-3.076380268,0.257935024,0,3120,1.5,0.339543391,-0.405779137,BVFB,BV,FB,0.181215659,0.147099645,-0.000134727,5.84567642551467e-05,0.03014179,FALSE
406,8/8/2023 15:19,8/8/2023 16:10,-2.212175041,-1.602948336,0.395574919,0,3060,1.5,0.487520829,-0.492787792,BVFB,BV,FB,0.471001248,0.448959634,-0.000286301,6.19346667974996e-05,0.000108412,TRUE
407,8/8/2023 16:44,8/8/2023 17:36,-0.921367355,-2.984887623,0.219860781,0,3120,1.5,0.388117489,-0.513467855,BVFB,BV,FB,0.118069761,0.081322668,-0.000119675,6.67644607604344e-05,0.085669573,FALSE
408,8/8/2023 18:12,8/8/2023 18:58,-3.26101857,NA,NA,0,2760,1.5,0.15544459,-0.219874217,BVFB,BV,FB,0.818213305,0.809556796,-0.000422504,4.3457970459348e-05,3.16609414920825e-09,TRUE
226,1/22/2024 11:11,1/22/2024 12:17,-0.791982575,0.334634478,0.744437765,0,3960,1.5,0.057887772,-0.060744269,DLFB,DL,FB,0.26144382,0.24990388,-9.51E-05,1.99784721931521e-05,1.14753973612794e-05,FALSE
229,1/22/2024 13:52,1/22/2024 15:11,0.741407112,0.428474824,0.761150441,0.312932288,4740,1.5,0.048774312,-0.034955916,DLTR,DL,TR,0.790238705,0.787514532,8.73897350836726e-05,5.13095953274681e-06,7.8231960080809e-28,FALSE
234,1/24/2024 10:16,1/24/2024 10:53,3.271857583,2.231239804,0.932345788,1.040617779,2220,1.5,0.117892157,-0.06458657,CGFB,CG,FB,0.908428252,0.905811916,0.000391478,2.10091436220228e-05,9.49095016075378e-20,FALSE
237,1/24/2024 11:17,1/24/2024 12:46,0.646116624,0.646116624,0.340971497,0,5340,1.5,0.111764877,-0.093285725,CGFB,CG,FB,0.253161539,0.244577188,7.74812266543898e-05,1.42676134980111e-05,5.0258637579747e-07,FALSE
242,1/25/2024 10:35,1/25/2024 12:00,-0.548648167,0.206257439,0.912584126,0,5100,1.5,0.023102483,-0.02996485,DTFB,DT,FB,0.413914414,0.406853142,-6.47E-05,8.44589298754278e-06,3.13370820647403e-11,FALSE
246,1/29/2024 9:37,1/29/2024 10:23,7.032314164,2.658017054,0.976264218,4.37429711,2760,1.5,0.161699326,-0.083711707,BVFB,BV,FB,0.898998067,0.896753579,0.000829518,4.14481508794572e-05,4.9252412440377e-24,FALSE
250,1/29/2024 12:44,1/29/2024 13:30,10.57168581,0.517563918,0.027273212,10.05412189,2760,1.5,0.361693823,-0.386120341,BVTR,BV,TR,0.316796748,0.301614453,0.001280337,0.000280287,3.81766387203209e-05,FALSE
254,3/7/2024 10:13,3/7/2024 12:22,0.488395823,0.488395823,0.89384188,0,7740,1.5,0.067345085,-0.070178571,DTFB,DT,FB,0.095472728,0.088350466,6.05836655125497e-05,1.65472127953861e-05,0.000366853,FALSE
262,3/19/2024 17:17,3/19/2024 18:13,2.536102226,1.801673598,0.970612693,0.734428627,3360,1.5,0.112388311,-0.070501182,BVTR,BV,TR,0.462791516,0.453024089,0.000309614,4.49798274732716e-05,5.85561735285499e-09,FALSE
266,3/20/2024 12:33,3/20/2024 13:41,-0.860766083,-0.765184425,0.744426827,0,4080,1.5,0.088420517,-0.082644649,DTFB,DT,FB,0.596741695,0.590631721,-0.000107751,1.0903034451101e-05,1.2096581160399e-14,FALSE
269,3/21/2024 11:01,3/21/2024 12:39,0.666211714,0.666211714,0.959283616,0,5880,1.5,0.317865658,-0.293623521,CGFB,CG,FB,0.152015931,0.143182763,8.15164304137009e-05,1.96498315936378e-05,7.23387475598248e-05,FALSE
461,11/11/2024 8:57,11/11/2024 10:04,0.448449814,0.062620759,0.716079778,0.385829054,4020,1.5,0.019468581,-0.013417708,BVFB,BV,FB,0.598448074,0.592173825,5.36152493262119e-05,5.48979291833186e-06,2.65499369441906e-14,FALSE
