project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,r2_best_window,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total,early_peak_flag
3,11/7/2022 10:26,11/7/2022 11:20,49.27022031,34.82407627,0.631406722,14.44614405,3240,1.5,4.625505059,-3.993281941,BNFB,BN,FB,0.935547138,0.93430766,0.005843221,0.000212686,1.24756382631598e-32,FALSE
56,1/11/2023 11:19,1/11/2023 14:08,3.767381515,3.767381515,0.465402305,0,10140,1.5,2.418818217,-2.376766775,DTFB,DT,FB,0.55886451,0.556222981,0.000442633,3.04311550833237e-05,1.72200610238225e-31,FALSE
57,1/12/2023 12:17,1/12/2023 14:23,1.139642132,1.139642132,0.384632932,0,7560,1.5,4.175475519,-4.198207789,CGFB,CG,FB,0.065786611,0.058252632,0.000135139,4.57324080438944e-05,0.003742962,FALSE
58,1/13/2023 11:04,1/13/2023 11:58,5.015454744,5.015454744,0.204621993,0,3240,1.5,2.978771163,-2.619558229,BNFB,BN,FB,0.306816558,0.293486107,0.000590253,0.000123033,1.39263129794958e-05,FALSE
85,3/6/2023 12:06,3/6/2023 12:48,7.740761147,7.740761147,0.280171678,0,2520,1.5,1.725848148,-1.715532192,DLFB,DL,FB,0.495111641,0.482489432,0.000933273,0.000149013,2.01722816241808e-07,FALSE
88,3/8/2023 10:28,3/8/2023 11:58,2.453515443,2.453515443,0.825703112,0,5400,1.5,2.904740314,-2.570090742,DTFB,DT,FB,0.08591564,0.075528318,0.000295288,0.000102674,0.005051801,FALSE
89,3/9/2023 9:17,3/9/2023 11:23,2.103711616,2.103711616,0.558939108,0,7560,1.5,3.535617658,-3.49488831,CGFB,CG,FB,0.216966715,0.21065193,0.000245464,4.18764686685382e-05,3.88029748278175e-08,FALSE
90,3/10/2023 9:36,3/10/2023 10:06,19.61079787,16.5576111,0.21159385,3.053186767,1800,1.5,2.843567722,-2.314107337,BVFB,BV,FB,0.624604374,0.611197387,0.002309597,0.000338376,2.04739706320878e-07,FALSE
92,3/10/2023 12:40,3/10/2023 13:06,-32.52220474,-61.98768357,0.764259621,0,1560,1.5,3.225361156,-3.310647628,BVTR,BV,TR,0.524615131,0.504807428,-0.003872409,0.00075245,2.86983601443703e-05,TRUE
94,5/1/2023 14:35,5/1/2023 15:01,37.25049775,NA,NA,0,1560,1.5,2.310796975,-2.277094209,BVFB,BV,FB,0.837639115,0.830874078,0.004502831,0.000404662,5.86646003416494e-11,FALSE
103,5/8/2023 14:45,5/8/2023 15:13,42.5468774,22.82918967,0.566705762,19.71768774,1680,1.5,2.835096365,-1.815640392,BVTR,BV,TR,0.752501722,0.742982557,0.005314625,0.000597748,2.30936768432718e-09,FALSE
116,5/11/2023 12:04,5/11/2023 14:55,1.237117555,1.237117555,0.49902754,0,10260,1.5,2.456729181,-2.17858629,CGFB,CG,FB,0.287827776,0.283613739,0.000158323,1.91569937208751e-05,3.9368506790054e-14,FALSE
120,5/12/2023 10:01,5/12/2023 13:02,3.483677466,3.483677466,0.649583911,0,10860,1.5,2.765431696,-2.461652792,DTFB,DT,FB,0.487445113,0.484581678,0.00044065,3.37733990875595e-05,8.91702866007606e-28,FALSE
127,6/15/2023 10:28,6/15/2023 13:04,5.980174486,5.980174486,0.787214112,0,9360,1.5,3.142500345,-2.760523842,DTFB,DT,FB,0.580835654,0.578113807,0.000753298,5.15669820789043e-05,7.03161655289378e-31,FALSE
130,7/13/2023 9:53,7/13/2023 13:00,2.733020671,2.733020671,0.667481692,0,11220,1.5,2.008087218,-1.933533898,CGFB,CG,FB,0.563099686,0.560725227,0.000354626,2.30282093259881e-05,6.41256776150961e-35,FALSE
133,7/14/2023 10:22,7/14/2023 13:30,0.110714553,0.110714553,0.982945948,0,11280,1.5,2.670007902,-2.40907637,DTFB,DT,FB,0.000611981,-0.004761073,1.44877997867554e-05,4.29283335544129e-05,0.73612957,FALSE
136,7/17/2023 9:45,7/17/2023 10:18,22.41907904,2.4,NA,20.01907904,1980,1.5,3.059168121,-2.15764072,BVFB,BV,FB,0.381942617,0.362005282,0.002796798,0.000638992,0.000126892,FALSE
144,7/19/2023 9:39,7/19/2023 10:16,17.88597269,2.880762914,0.132275704,15.00520978,2220,1.5,1.893334811,-1.555442157,DLFB,DL,FB,0.621178351,0.610354875,0.002293103,0.000302691,7.01302508318532e-09,FALSE
149,7/19/2023 12:52,7/19/2023 13:34,8.994996519,8.994996519,0.4478284,0,2520,1.5,2.664340259,-2.383956882,DLTR,DL,TR,0.368899359,0.353121843,0.001182338,0.000244516,1.99746145113621e-05,FALSE
153,8/7/2023 10:59,8/7/2023 11:25,NA,NA,NA,NA,1560,1.5,NA,NA,BVFB,BV,FB,NA,NA,NA,NA,NA,FALSE
304,8/7/2023 13:54,8/7/2023 14:28,-0.536454356,-1.673695482,0.027127786,0,2040,1.5,0.937115988,-0.933355551,BVFB,BV,FB,0.006845996,-0.05522613,-6.86E-05,0.000206484,0.744123943,FALSE
305,8/7/2023 15:04,8/7/2023 15:49,-2.122407868,-9.627698112,0.434136916,0,2700,1.5,1.425888904,-1.424020535,BVFB,BV,FB,0.092129855,0.048897944,-0.000271575,0.000186034,0.159139619,TRUE
306,8/7/2023 17:56,8/7/2023 18:46,-0.086532392,-3.104750169,0.34935942,0,3000,1.5,0.709638072,-0.795137801,BVFB,BV,FB,0.000593853,-0.04104807,-1.11E-05,9.28034568484541e-05,0.905937301,FALSE
307,8/7/2023 19:20,8/7/2023 20:10,6.60255994,6.60255994,0.811451583,0,3000,1.5,1.410352495,-1.27975606,BVFB,BV,FB,0.466576942,0.444350981,0.000834477,0.000182131,0.000120295,FALSE
308,8/7/2023 20:46,8/7/2023 21:36,8.609482515,8.609482515,0.751106891,0,3000,1.5,1.143106532,-1.131360921,BVFB,BV,FB,0.633462949,0.617526555,0.001066141,0.000169102,1.96464815508367e-06,FALSE
309,8/7/2023 22:12,8/7/2023 22:58,8.849473849,NA,NA,NA,2760,1.5,1.410549125,-1.407640604,BVFB,BV,FB,0.591764209,0.573208037,0.001091773,0.000193331,1.11683624588458e-05,FALSE
310,8/7/2023 23:44,8/8/2023 0:24,6.291964753,NA,NA,NA,2400,1.5,1.42143159,-1.480199117,BVFB,BV,FB,0.180811716,0.122298267,0.000775682,0.000441264,0.100603482,FALSE
318,8/8/2023 0:36,8/8/2023 1:24,7.078457384,7.078457384,0.439515081,0,2880,1.5,1.318559835,-1.381527423,BVFB,BV,FB,0.138873993,0.06058981,0.000872298,0.000654925,0.209829906,FALSE
311,8/8/2023 1:02,8/8/2023 1:56,5.023496856,3.435438226,0.095120987,1.588058629,3240,1.5,1.458448881,-1.441320198,BVFB,BV,FB,0.260531641,0.229720459,0.00061914,0.000212918,0.007715926,FALSE
312,8/8/2023 2:28,8/8/2023 3:30,0.129620545,0.129620545,0.104543355,0,3720,1.5,2.113982779,-1.893648739,BVFB,BV,FB,0.000366826,-0.039618501,1.59570203517826e-05,0.000166599,0.924458115,FALSE
313,8/8/2023 3:54,8/8/2023 4:46,2.091466954,2.091466954,0.150672858,0,3120,1.5,1.851560308,-1.88969916,BVFB,BV,FB,0.057470823,0.016491294,0.000257133,0.000217129,0.248411841,FALSE
314,8/8/2023 6:54,8/8/2023 7:40,-0.31937967,-8.38387143,0.660473017,0,2760,1.5,1.102943143,-1.031994653,BVFB,BV,FB,0.002524832,-0.042814948,-3.96E-05,0.000167755,0.815630677,FALSE
315,8/8/2023 8:24,8/8/2023 9:06,-3.670224912,-6.22747286,0.445894674,0,2520,1.5,1.031419886,-1.190134162,BVFB,BV,FB,0.315349282,0.279315033,-0.000460993,0.000155832,0.008073156,TRUE
316,8/8/2023 9:38,8/8/2023 10:32,-3.685760709,7.906728255,0.538874674,0,3240,1.5,1.11066624,-1.171719251,BVFB,BV,FB,0.222745469,0.192851064,-0.000466054,0.000170737,0.011223676,TRUE
317,8/8/2023 11:06,8/8/2023 11:46,-1.71711924,2.598186542,0.217267278,0,2400,1.5,0.911192031,-1.001214592,BVFB,BV,FB,0.09280542,0.045058337,-0.000218053,0.000156404,0.179359813,TRUE
319,8/8/2023 14:00,8/8/2023 14:48,0.841826295,NA,NA,NA,2880,1.5,0.708543859,-0.632020954,BVFB,BV,FB,0.027554647,-0.021067621,0.00010772,0.000143092,0.460339701,FALSE
320,8/8/2023 16:52,8/8/2023 17:38,-0.882130045,-3.081304888,0.14815547,0,2760,1.5,1.166175091,-1.234819688,BVFB,BV,FB,0.027054163,-0.017170647,-0.000113055,0.000144545,0.442470101,FALSE
321,8/8/2023 18:18,8/8/2023 19:08,-1.3385224,NA,NA,0,3000,1.5,0.538933897,-0.680906874,BVFB,BV,FB,0.077946845,0.037857577,-0.000171177,0.000122761,0.176523323,TRUE
323,8/8/2023 21:08,8/8/2023 22:01,4.998062769,4.998062769,0.273934347,0,3180,1.5,1.557641093,-1.5094543,BVFB,BV,FB,0.37519759,0.346797481,0.00061857,0.000170184,0.00146368,FALSE
324,8/8/2023 22:25,8/8/2023 23:23,-0.711292982,-13.0850904,0.464034369,0,3480,1.5,1.472074662,-1.472006258,BVFB,BV,FB,0.007638643,-0.033709747,-8.81E-05,0.000204984,0.671166709,FALSE
326,8/9/2023 1:24,8/9/2023 2:15,10.1981816,10.1981816,0.673657164,0,3060,1.5,1.163849577,-0.914771286,BVFB,BV,FB,0.612687545,0.595847873,0.001259018,0.000208727,3.75869016000854e-06,FALSE
327,8/9/2023 2:53,8/9/2023 3:45,8.965915025,2.980055163,0.048126588,5.985859862,3120,1.5,1.42043228,-1.084221016,BVFB,BV,FB,0.503533923,0.481948441,0.001106336,0.000229062,7.11663616526443e-05,FALSE
328,8/9/2023 4:21,8/9/2023 5:05,8.982795674,8.06075887,0.29738501,0.922036805,2640,1.5,1.647011776,-1.647074907,BVFB,BV,FB,0.374369939,0.344578032,0.001106656,0.000312185,0.001918,FALSE
329,8/9/2023 5:45,8/9/2023 6:35,10.1814757,10.1814757,0.533399081,0,3000,1.5,1.630962623,-1.632829527,BVFB,BV,FB,0.481388259,0.459779436,0.001254284,0.000265744,8.46524139061266e-05,FALSE
330,8/9/2023 7:08,8/9/2023 7:57,15.66163854,15.66163854,0.6490727,0,2940,1.5,2.796319319,-2.602140048,BVFB,BV,FB,0.686805919,0.672569825,0.001936331,0.000278778,5.66768534030094e-07,FALSE
331,8/9/2023 8:45,8/9/2023 9:35,-1.962322109,-5.974869049,0.268733138,0,3000,1.5,1.23093267,-1.400821333,BVFB,BV,FB,0.058031949,0.01521522,-0.000248405,0.00021337,0.256814113,TRUE
332,8/9/2023 10:05,8/9/2023 10:55,-6.973476707,-11.90560215,0.570033509,0,3000,1.5,1.838432831,-1.804314237,BVFB,BV,FB,0.524919069,0.50512403,-0.000885667,0.00017199,2.84717565225713e-05,TRUE
155,8/10/2023 10:10,8/10/2023 12:28,-0.717314236,-4.202897444,0.403662849,0,8280,1.5,0.935210533,-0.955289443,DTFB,DT,FB,0.014179148,-0.017621524,-9.19E-05,0.000137657,0.509241048,FALSE
159,9/11/2023 10:07,9/11/2023 10:48,302.0761354,147.3473791,0.863529012,154.7287563,2460,1.5,6.105038928,-5.724664874,BVFB,BV,FB,0.56372115,0.551929829,0.037629571,0.005442248,3.6877595608093e-08,FALSE
165,9/11/2023 12:46,9/11/2023 13:34,19.54212013,19.54212013,0.974997779,0,2880,1.5,3.457949508,-2.626382651,BVTR,BV,TR,0.11916989,0.10002141,0.002498247,0.001001427,0.016260001,FALSE
182,9/15/2023 10:23,9/15/2023 16:17,-42.23435652,-94.67593378,0.76151338,0,21240,1.5,5.81076894,-6.318675517,DTFB,DT,FB,0.767479091,0.766261704,-0.0054826,0.000218357,2.06426163879049e-62,TRUE
