project_flux_id,datetime_start,datetime_end,total_CH4_flux_lm_raw_mgC_m2_d,diffusive_flux_mgC_m2_d,r2_best_window,ebullitive_lm_raw_mgC_m2_d,deployment_duration_sec,jump_iqr_k,jump_threshold_pos_ppm_min,jump_threshold_neg_ppm_min,site,reservoir,FB_TR,r2_lm_total,adj_r2_lm_total,slope_lm_total,slope_se_lm_total,slope_p_lm_total
4,11/7/2022 10:26,11/7/2022 11:20,34.93508974,31.88687923,0.967968413,3.048210508,3240,1.5,1.28931927,-0.736446844,BNFB,BN,FB,0.965892139,0.965236219,0.004156505,0.000108315,8.00422237515476e-40
11,11/9/2022 13:38,11/9/2022 15:53,-2.257610021,0.585053748,0.730115861,0,8100,1.5,0.18778964,-0.153900588,CGFB,CG,FB,0.212678229,0.206758516,-0.000272091,4.53944553657323e-05,1.81244851579892e-08
23,11/10/2022 10:35,11/10/2022 13:28,2.686631149,0.754923461,0.848635192,1.931707688,10380,1.5,0.068440139,-0.060711347,DTFB,DT,FB,0.89569732,0.895087363,0.000322184,8.40761047955593e-06,7.45928266838386e-86
27,11/10/2022 15:35,11/10/2022 16:01,12.43409703,5.401404899,0.760650256,7.03269213,1560,1.5,0.608300258,-0.345262821,DTTR,DT,TR,0.86928614,0.863839729,0.001474908,0.000116745,4.27672032885992e-12
15,11/11/2022 10:42,11/11/2022 11:08,17.98518668,8.204133234,0.885010177,9.781053442,1560,1.5,0.638423904,-0.383054342,DLFB,DL,FB,0.864853497,0.859222393,0.002122679,0.000171281,6.39621587144794e-12
19,11/11/2022 14:46,11/11/2022 15:42,9.529399837,0.136129593,0.540927503,9.393270243,3360,1.5,0.665016255,-0.412020426,DLTR,DL,TR,0.660680003,0.6543963,0.001128603,0.000110066,2.79443098962028e-14
45,1/9/2023 12:52,1/9/2023 13:51,2.659949012,0.732627732,0.79720293,1.92732128,3540,1.5,0.0371479,-0.041605601,DLFB,DL,FB,0.70755375,0.702423114,0.000315622,2.68765168951883e-05,7.52554656573093e-17
46,1/9/2023 14:32,1/9/2023 14:59,14.27569308,6.199982271,0.757276199,8.075710807,1620,1.5,0.531307947,-0.325462108,DLFB,DL,FB,0.941410832,0.939157402,0.001697446,8.30478274481689e-05,1.5277553715249e-17
48,1/11/2023 11:19,1/11/2023 14:08,-0.93094122,0.301172605,0.732980559,0,10140,1.5,0.039814796,-0.043191247,DTFB,DT,FB,0.220783083,0.216117113,-0.000109451,1.59114141107404e-05,1.15552406627535e-10
49,1/12/2023 12:17,1/12/2023 14:23,0.650461209,0.650461209,0.873810528,0,7560,1.5,0.035954368,-0.030267245,CGFB,CG,FB,0.780851531,0.779084204,7.73928208870463e-05,3.68192401742532e-06,1.0786751466615e-42
50,1/13/2023 11:04,1/13/2023 11:58,3.151859515,NA,NA,NA,3240,1.5,0.046615274,-0.060498986,BNFB,BN,FB,0.817584036,0.814142225,0.000371299,2.4090810385874e-05,3.1470804072894e-21
77,3/6/2023 12:06,3/6/2023 12:48,3.791911478,NA,NA,NA,2520,1.5,0.098778362,-0.071460909,DLFB,DL,FB,0.930512584,0.928775399,0.000459875,1.98701983425862e-05,8.93694593240781e-25
80,3/8/2023 10:28,3/8/2023 11:58,2.519735495,1.540269623,0.833432691,0.979465872,5400,1.5,0.143785255,-0.125631606,DTFB,DT,FB,0.419403617,0.412805931,0.000303562,3.80738583302959e-05,5.26226625855827e-12
81,3/9/2023 9:17,3/9/2023 11:23,1.914717045,0.500449519,0.853100915,1.414267526,7560,1.5,0.043278918,-0.025967351,CGFB,CG,FB,0.831444451,0.830085132,0.000224369,9.07208730026044e-06,8.94974000110541e-50
82,3/10/2023 9:36,3/10/2023 10:06,9.054772157,4.949395247,0.843828814,4.10537691,1800,1.5,0.46924816,-0.288162272,BVFB,BV,FB,0.850402989,0.845060239,0.001066044,8.44977524246839e-05,4.52980767298592e-13
84,3/10/2023 12:40,3/10/2023 13:06,-31.16081821,-78.22084654,0.988862778,0,1560,1.5,1.154922674,-1.621669358,BVTR,BV,TR,0.437279781,0.413833105,-0.003707764,0.000858565,0.000234953
95,5/1/2023 14:35,5/1/2023 15:01,193857.6117,NA,NA,NA,1560,1.5,104625.8828,-66576.41118,BVFB,BV,FB,0.006775973,-0.032952988,23.38413495,56.62250423,0.683139723
183,9/15/2023 10:23,9/15/2023 16:17,-1.03E+12,-116900.7672,0.41342104,0,21240,1.5,1833479509,-2871338031,DTFB,DT,FB,0.248082551,0.245909379,-132794961.8,12428837.83,3.22496047189398e-23
186,10/10/2023 9:46,10/10/2023 11:03,-477765.9558,-753994.087,0.920509143,0,4620,1.5,95452.76719,-96843.82573,BVFB,BV,FB,0.501013322,0.498834341,-57.77798122,3.810346412,1.99965724782913e-36
